"","Entity","DII","ADII","Rank_ADII","Rank_DII"
"1","Singapore",98.82,80.695,1,1
"2","South Korea",83.09,75.7333333333333,3,2
"3","New Zealand",80.46,75.62,4,3
"4","Australia",80.09,74.9416666666667,5,4
"5","Japan",77.76,76.5083333333333,2,5
"6","Malaysia",69.03,72.845,6,6
"7","China",61.89,70.6816666666667,7,7
"8","Thailand",53.04,67.24,8,8
"9","Indonesia",47.72,57.4533333333333,9,9
"10","Vietnam",46.79,57.255,10,10
"11","Philippines",44.29,53.99,11,11
"12","Cambodia",32.31,37.5983333333333,12,12
"13","Laos",32.14,36.5666666666667,13,13
