nr;entity;GDP
1;United States;$29,298,025,000,000
2;China;$18,749,759,000,000
3;Germany;$4,684,182,000,000
4;Japan;$4,019,382,000,000
5;India;$3,909,892,000,000
6;United Kingdom;$3,644,636,000,000
7;France;$3,160,902,000,000
8;Italy;$2,372,059,000,000
9;Canada;$2,243,637,000,000
10;Brazil;$2,179,413,000,000
11;Russia;$2,173,225,000,000
12;South Korea;$1,875,388,000,000
13;Mexico;$1,856,366,000,000
14;Australia;$1,795,492,000,000
15;Spain;$1,725,152,000,000
16;Indonesia;$1,396,300,000,000
17;Turkey;$1,358,251,000,000
18;Saudi Arabia;$1,239,805,000,000
19;Netherlands;$1,214,562,000,000
20;Switzerland;$938,153,000,000
21;Poland;$914,553,000,000
22;Taiwan;$797,004,000,000
23;Belgium;$664,365,000,000
24;Argentina;$637,234,000,000
25;Ireland;$608,974,000,000
26;Sweden;$603,715,000,000
27;United Arab Emirates;$552,325,000,000
28;Singapore;$547,387,000,000
29;Israel;$542,285,000,000
30;Thailand;$526,518,000,000
31;Austria;$523,956,000,000
32;Norway;$483,593,000,000
33;Philippines;$461,617,000,000
34;Viet Nam;$459,472,000,000
35;Bangladesh;$450,461,000,000
36;Denmark;$424,525,000,000
37;Malaysia;$422,227,000,000
38;Colombia;$418,818,000,000
39;Iran;$416,676,000,000
40;Hong Kong;$406,863,000,000
41;South Africa;$401,076,000,000
42;Egypt;$383,105,000,000
43;Romania;$382,854,000,000
44;Pakistan;$371,408,000,000
45;Czech Republic;$347,034,000,000
46;Chile;$330,210,000,000
47;Portugal;$308,581,000,000
48;Finland;$298,607,000,000
49;Peru;$294,675,000,000
50;Kazakhstan;$291,480,000,000
51;Iraq;$278,771,000,000
52;Algeria;$269,140,000,000
53;New Zealand;$258,365,000,000
54;Greece;$257,067,000,000
55;Nigeria;$252,109,000,000
56;Hungary;$223,060,000,000
57;Qatar;$219,631,000,000
58;Cuba;$201,985,998,168
59;Ukraine;$190,687,000,000
60;Morocco;$160,606,000,000
61;Kuwait;$160,226,000,000
62;Ethiopia;$142,073,000,000
63;Slovakia;$141,733,000,000
64;Puerto Rico;$125,842,000,000
65;Ecuador;$124,676,000,000
66;Dominican Rep.;$124,613,000,000
67;Venezuela;$119,803,000,000
68;Kenya;$119,307,000,000
69;Angola;$115,214,000,000
70;Uzbekistan;$114,962,000,000
71;Guatemala;$113,190,000,000
72;Bulgaria;$112,232,000,000
73;Oman;$106,943,000,000
74;Sri Lanka;$98,964,000,000
75;Costa Rica;$95,365,000,000
76;Luxembourg;$93,252,000,000
77;Croatia;$92,643,000,000
78;Serbia;$89,074,000,000
79;Côte d'Ivoire;$87,096,000,000
80;Panama;$86,524,000,000
