country;population
India;1,476,625,576
China;1,412,914,089
United States;349,035,494
Indonesia;287,886,782
Pakistan;259,299,791
Nigeria;242,431,832
Brazil;213,562,666
Bangladesh;177,818,044
Russia;143,394,458
Ethiopia;138,902,185
Mexico;132,997,658
Japan;122,427,731
Egypt;120,101,175
Philippines;117,724,471
DR Congo;116,452,162
Viet Nam;102,177,431
Iran;93,168,497
Turkey;87,926,082
Germany;83,644,258
Tanzania;72,563,780
Thailand;71,559,614
United Kingdom;69,931,528
France;66,746,401
South Africa;65,453,084
Italy;58,926,166
Kenya;58,636,412
Myanmar;55,184,819
Colombia;53,936,226
Sudan;53,282,719
Uganda;52,761,469
South Korea;51,600,388
Algeria;48,028,334
Iraq;48,007,437
Spain;47,850,793
Argentina;46,003,734
Afghanistan;45,047,069
Yemen;42,961,653
Canada;40,467,728
Angola;40,215,179
Ukraine;39,535,849
Morocco;38,762,441
Poland;37,843,188
Uzbekistan;37,724,223
Mozambique;36,639,851
Malaysia;36,385,115
Ghana;35,697,557
Saudi Arabia;35,165,787
Peru;34,922,148
Madagascar;33,522,052
Côte d'Ivoire;33,494,346
Cameroon;30,640,817
Nepal;29,629,410
Niger;28,814,878
Venezuela;28,633,711
Australia;27,227,096
North Korea;26,633,691
Syria;26,472,497
Mali;25,932,275
Burkina Faso;24,601,700
Sri Lanka;23,348,315
Taiwan;23,011,292
Malawi;22,785,535
Zambia;22,521,915
Chad;21,560,380
Kazakhstan;21,083,626
Somalia;20,305,907
Chile;19,945,850
Senegal;19,366,548
Guatemala;18,967,978
Romania;18,800,605
Netherlands;18,448,775
Ecuador;18,444,506
Cambodia;18,051,219
Zimbabwe;17,273,580
Guinea;15,441,993
Benin;15,170,419
Rwanda;14,889,693
Burundi;14,729,157
Bolivia;12,749,291
South Sudan;12,436,037
Tunisia;12,415,138
Haiti;12,037,506
Belgium;11,774,642
Dominican Republic;11,609,500
Jordan;11,589,532
United Arab Emirates;11,574,682
Honduras;11,184,760
Tajikistan;10,978,599
Papua New Guinea;10,947,848
Cuba;10,892,659
Sweden;10,701,047
Czech Republic;10,527,781
Azerbaijan;10,454,855
Portugal;10,395,362
Togo;9,930,918
Greece;9,897,115
Israel;9,647,689
Hungary;9,585,818
Austria;9,107,266
Switzerland;9,007,798
Sierra Leone;8,996,745
Belarus;8,937,018
Laos;7,974,017
Turkmenistan;7,736,632
Libya;7,539,851
Kyrgyzstan;7,400,465
Hong Kong;7,378,602
Nicaragua;7,097,329
Paraguay;7,095,279
Bulgaria;6,667,659
Serbia;6,641,964
Congo;6,637,785
El Salvador;6,391,253
Denmark;6,023,520
Singapore;5,905,748
Lebanon;5,897,467
Liberia;5,853,949
Central African Republic;5,698,984
State of Palestine;5,692,790
Oman;5,671,458
Norway;5,652,989
Finland;5,621,739
Mauritania;5,461,319
Slovakia;5,451,342
Ireland;5,356,950
New Zealand;5,287,479
Costa Rica;5,174,789
Kuwait;5,102,773
Panama;4,625,718
Croatia;3,822,345
Georgia;3,804,642
Eritrea;3,682,669
Mongolia;3,556,798
Uruguay;3,382,537
Puerto Rico;3,222,688
Qatar;3,173,559
Namibia;3,153,246
Bosnia and Herzegovina;3,114,242
Moldova;2,961,253
Armenia;2,930,915
Gambia;2,884,079
Jamaica;2,833,403
Lithuania;2,797,338
Albania;2,751,025
Gabon;2,647,399
Botswana;2,603,388
Lesotho;2,389,336
Guinea-Bissau;2,297,808
Slovenia;2,114,573
Equatorial Guinea;1,984,468
Latvia;1,835,935
North Macedonia;1,804,063
Bahrain;1,675,572
Trinidad and Tobago;1,513,268
Timor-Leste;1,436,923
Cyprus;1,382,334
Estonia;1,331,062
Eswatini;1,269,859
Mauritius;1,265,059
Djibouti;1,199,459
Fiji;937,282
Comoros;899,01
Réunion;886,298
Solomon Islands;858,288
Guyana;840,89
Bhutan;802,214
Macao;723,188
Luxembourg;687,448
Suriname;645,256
Montenegro;626,233
Western Sahara;610,813
Malta;549,011
Maldives;531,517
Cabo Verde;529,63
Brunei Darussalam;469,775
Belize;428,644
Bahamas;404,628
Iceland;402,329
Guadeloupe;372,453
Mayotte;347,536
Vanuatu;342,564
Martinique;337,711
French Guiana;318,872
New Caledonia;297,892
French Polynesia;283,076
Barbados;282,724
Sao Tome & Principe;244,994
Samoa;220,528
Curaçao;185,44
Saint Lucia;180,488
Guam;170,185
Kiribati;138,445
Seychelles;134,959
Grenada;117,362
Micronesia;114,183
Aruba;108,164
Tonga;103,291
St. Vincent & Grenadines;99,245
Antigua and Barbuda;94,626
Isle of Man;84,055
Andorra;83,753
U.S. Virgin Islands;83,4
Cayman Islands;77,196
Dominica;65,511
Bermuda;64,459
Faeroe Islands;56,526
Greenland;55,629
Turks and Caicos;47,148
Saint Kitts & Nevis;46,992
American Samoa;45,319
Sint Maarten;44,447
Northern Mariana Islands;42,914
Gibraltar;40,867
Liechtenstein;40,368
British Virgin Islands;39,936
Monaco;38,087
Marshall Islands;35,075
San Marino;33,605
Caribbean Netherlands;31,913
Palau;17,614
Anguilla;14,817
Cook Islands;12,826
Nauru;12,101
Saint Barthelemy;11,55
Wallis & Futuna;11,113
Tuvalu;9,362
Saint Pierre & Miquelon;5,513
Saint Helena;5,147
Montserrat;4,328
Falkland Islands;3,465
Tokelau;2,691
Niue;1,822
Holy See;506
