"","entity","above","basic","5G","fixed","home_internet","internet_use","mobile","employees","foreign_investments","investments","revenue","price_big","price_small","gov_policies"
"1","Afghanistan",NA,NA,NA,0.07985875,27.45305,17.4503,55.9065,96.5652,NA,40269300,338739000,"8.78","4.39",0
"2","Albania",NA,NA,8,22.6951333333333,96.6086,82.87465,74.8882333333333,18.8740666666667,NA,49894566.6666667,298189333.333333,"15.95","10.63",4
"3","Algeria",NA,NA,0,11.8925666666667,91.3964,75.87,104.0724,5.77777666666667,0,737701000,3621173333.33333,"7.42","7.42",5
"4","Andorra",NA,NA,92.6666666666667,51.7668666666667,96.26595,94.96555,103.626533333333,5.08826666666667,NA,NA,NA,"18.94","8.42",NA
"5","Angola",NA,NA,15.725,0.374404,46.93935,43.415,29.9775,97.04845,103279700000,288530500,729749000,"4.61","2.74",2
"6","Argentina",NA,NA,NA,25.3796333333333,93.0708333333333,89.0905333333333,77.8896,NA,NA,NA,10704966666.6667,"8.29","8.29",4
"7","Armenia",NA,NA,9.57666666666667,18.8616666666667,90.73295,78.51215,101.542166666667,17.596,1963650000,96701766.6666667,325322000,"5.56","5.56",2
"8","Australia",NA,NA,84.6666666666667,36.4998333333333,97.35505,97.05275,127.670333333333,11.9511666666667,NA,6272890000,2.996e+10,"24.47","24.47",5
"9","Austria",66.86614,17.901098,95.3333333333333,29.5782,94.3661666666667,94.6228333333333,125.683333333333,3.23534,NA,881763666.666667,4410206666.66667,"8.41","8.41",4
"10","Azerbaijan",44.4315875,30.38359375,0,21.0005,88.93995,88.5,84.1283333333333,21.6700333333333,23200000,278549000,1887310000,"8.65","7.06",4
"11","Bahamas",NA,NA,0,23.4066333333333,87.38045,94.7756,99.4506333333333,11.9362333333333,NA,71173533.3333333,379575666.666667,"40","32",2
"12","Bahrain",NA,NA,100,17.3841333333333,100,100,144.106666666667,12.4134666666667,NA,247626666.666667,1431636666.66667,"25.53","25.53",0
"13","Bangladesh",NA,NA,0,7.71732333333333,42.16595,43.0596,58.3277666666667,2393.39333333333,7.771095e+12,NA,3483753333.33333,"2.68","2.49",3
"14","Belarus",51.81702,14.7105633333333,0,35.1410333333333,92.0279333333333,91.7605333333333,104.299,NA,NA,243134333.333333,1501520000,"4.99","4.99",2
"15","Belgium",66.03043,17.86033,72.1333333333333,43.8335,94.5130333333333,94.8033,97.0097666666667,5.62923666666667,NA,2681116666.66667,6978320000,"17.87","17.87",5
"16","Benin",NA,NA,1.66666666666667,0.200444666666667,35.62185,31.11085,49.4461,864.728,NA,161384666.666667,580595000,"14.76","6.42",2
"17","Bermuda",NA,NA,99.7,43.4416,NA,NA,55.0766666666667,10.8954,0,24049100,214667000,"80","80",NA
"18","Bhutan",NA,NA,45.6666666666667,1.623778,99.6,87.35815,96.54735,52.1785,0,24915745.6539333,105.164,"6.75","2.5",1
"19","Bolivia (Plurinational State of)",NA,NA,NA,11.4071666666667,57.22725,68.799,90.7855666666667,17.841,514310000,212480000,1401250000,"24.04","14.47",2
"20","Bosnia and Herzegovina",48.8503766666667,10.6291633333333,NA,28.3833333333333,80.5649333333333,82.7745333333333,66.7601666666667,17.7037666666667,1333.33333333333,140013000,720025666.666667,"13.44","10.51",3
"21","Botswana",NA,NA,31,6.04594666666667,75.603,80.8648,121.187333333333,19.97675,0,58758500,268922500,"17.72","11.1",2
"22","Brazil",43.1679733333333,16.99516,53.0766666666667,22.4839333333333,82.5928,83.0473,97.2262333333333,NA,NA,4696826666.66667,23571700000,"4.96","4.96",5
"23","British Virgin Islands",NA,NA,NA,22.9958666666667,NA,NA,6.44866,3.538775,NA,5391180,22600500,"45","45",NA
"24","Brunei Darussalam",78.0888,16.28059,95.44,20.3980333333333,95.058,99.002,118.349666666667,9.56309666666667,NA,68667400,NA,"13.35","7.04",3
"25","Bulgaria",35.14187,22.2065,87.3933333333333,37.0319333333333,89.3063,80.6518333333333,117.584666666667,26.8283,NA,365801000,1663830000,"8.07","12.11",4
"26","Burundi",NA,NA,0,0.0252046,NA,11.03965,8.967755,76.4075,0,2869060,109240500,"11.45","5.87",1
"27","Cabo Verde",NA,NA,NA,7.36771666666667,74.3087,73.14955,93.6896333333333,10.4008966666667,0,18939200,81407800,"6.67","6.67",2
"28","Cambodia",NA,NA,NA,3.58377,70.2987,60.18885,104.2208,207.627666666667,NA,155803666.666667,1050463000,"4","4",0
"29","Cameroon",NA,NA,NA,2.12862,50.51765,41.8419,26.0965333333333,298.2687,NA,289643000,1189208333.33333,"18.89","9.02",2
"30","Canada",66.96,16.540002,93,42.4090666666667,95.55015,93.9782,83.5349666666667,NA,NA,10231666666.6667,42109566666.6667,"22.84","19.69",3
"31","Chad",NA,NA,0,0,NA,12.83485,8.78434333333333,449.275,0,130016566.666667,334632666.666667,"17.64","8.02",2
"32","Chile",53.678775,15.950025,84,23.1723333333333,94.258,93.99755,109.348333333333,18.8041666666667,NA,1339806666.66667,NA,"6.23","7.79",2
"33","China",NA,NA,90,44.4319666666667,82.90405,86.0704333333333,122.631666666667,6.21146333333333,NA,58316166666.6667,238459666666.667,"6.94","3.81",5
"34","Colombia",NA,NA,0.76,17.0896333333333,61.70065,75.06665,85.0804333333333,NA,NA,NA,6005976666.66667,"7.35","7.35",4
"35","Comoros",NA,NA,NA,0.303658,44.40895,34.21815,71.9456,15.19055,NA,1822100,61013800,"10.7","8.56",0
"36","Costa Rica",NA,NA,0,22.5228,82.49675,83.99655,101.191766666667,17.5997333333333,37949900000,241417000,1616703333.33333,"11.69","11.69",4
"37","Croatia",56.2127416666667,20.7616979166667,90.8133333333333,28.5771333333333,87.8175,82.9817333333333,131.077666666667,7.00383333333333,NA,472950500,1781040000,"8.42","8.42",3
"38","Cuba",NA,NA,0,2.98205333333333,32.6737,69.7625,47.9345,11.6332666666667,NA,NA,NA,"36.07","18.72",1
"39","Curacao",NA,NA,0,32.21215,NA,NA,53.606,7.556305,NA,NA,NA,"51.96","51.96",NA
"40","Cyprus",NA,NA,100,37.0763333333333,93.1509,90.41105,85.9459666666667,10.2074666666667,NA,152344000,594056500,"10.52","10.52",4
"41","Czech Republic",60.1966375,13.33402,89.8,38.1631,87.3069,86.0739666666667,105.753,16.8499,NA,873642000,3590673333.33333,"20.34","19.25",3
"42","Côte d'Ivoire",NA,NA,0,1.40556333333333,71.69275,39.53305,95.4359,11.6173666666667,NA,423313000,1932430000,"8.02","3.21",NA
"43","Dem. Rep. of the Congo",NA,NA,NA,0.02711055,37.55855,30.0238,26.83555,NA,NA,458213000,2515340000,"16.7","9",NA
"44","Denmark",NA,NA,100,44.1049666666667,96.0539,98.8016333333333,145.224333333333,16.48665,NA,1553365000,4844560000,"25.24","11.14",3
"45","Djibouti",NA,NA,0,1.44226,70.194,64.14105,35.01605,84.6809,0,22007650,190992500,"28.13","22.51",NA
"46","Dominican Rep.",26.030674,15.547956,56.5,11.0045333333333,51.4694,85.7103333333333,73.5128666666667,7.47344333333333,NA,285246666.666667,3603866666.66667,"21.73","10.83",3
"47","Ecuador",NA,NA,3.49666666666667,16.1424,62.8763333333333,73.1950333333333,62.6167,11.8483633333333,NA,NA,2244730000,"11.68","13.95",4
"48","Egypt",NA,NA,0,11.0781666666667,74.381,72.444,69.3368,4.84261333333333,NA,1464273333.33333,5728500000,"3.61","1.38",5
"49","Estonia",66.35345,8.8538825,70.6666666666667,36.7762,92.8316,92.3138666666667,190.336666666667,16.2261666666667,NA,119933000,467967000,"9.47","4.21",4
"50","Eswatini",NA,NA,1.66666666666667,2.48517,63.3321,57.5425,105.869266666667,26.3555333333333,0,13166266.6666667,134050333.333333,"13.51","2.43",1
"51","Ethiopia",NA,NA,0.01,0.526772333333333,NA,NA,32.2417,49.7347666666667,52805433333.3333,1154604500,1420410000,"2.13","0.75",0
"52","Finland",56.3865,24.1684,99.1633333333333,35.3678333333333,94.14245,93.25135,158.749333333333,NA,NA,651353000,2994810000,"26.48","16.02",4
"53","France",55.82636,19.00026,93,48.6147333333333,88.1793,86.9411666666667,108.777666666667,2.54456,NA,15107250000,35118166666.6667,"10.51","10.51",5
"54","Gabon",NA,NA,NA,3.99084,76.8642,71.31625,88.3031,13.7775333333333,NA,NA,444250000,"16.04","12.83",2
"55","Gambia",NA,NA,NA,0.412171333333333,43.8166,44.9763,78.3929333333333,55.8833,NA,NA,0,"11.39","4.54",2
"56","Georgia",41.1641,15.77293,0,29.3527,88.6818,80.2978,114.106,26.0986,165253,100216533.333333,488013000,"7.68","3.55",4
"57","Germany",NA,NA,96.2333333333333,45.202,91.9062333333333,92.5354,96.3488333333333,3.39803,NA,15594066666.6667,48810166666.6667,"10.51","10.51",3
"58","Ghana",NA,NA,0,0.615050333333333,58.08235,69.6526,63.6387,6.026935,NA,NA,NA,"6.85","1.31",2
"59","Greece",60.0983625,12.399615,96,43.8176666666667,85.6572,84.8168666666667,93.5013666666667,1.88414333333333,NA,881271000,4490446666.66667,"14.96","13.31",3
"60","Guinea-Bissau",NA,NA,0,0.305238,24.27125,30.01665,72.1119,NA,NA,26321.2333333333,120992.666666667,"12.03","4.81",0
"61","Honduras",NA,NA,0,4.45036,50.2812,57.33425,49.5016333333333,58.0466,NA,227431333.333333,1017647000,"26.12","26.12",3
"62","Hong Kong, China",38.3250666666667,10.48506,93,40.0360666666667,96.3388,95.7957,169.878666666667,5.29786333333333,NA,835481000,15675300000,"5.01","5.14",4
"63","Hungary",NA,NA,70.85,36.9554333333333,92.9848666666667,91.4573,85.8250333333333,NA,NA,523062000,3191520000,"21.35","11.77",3
"64","Iceland",NA,NA,95,37.4567333333333,98.3637,99.81915,124.885,12.0943,6.95e+10,79935433.3333333,217567333.333333,"17.33","17.33",3
"65","India",NA,NA,82.075,2.74937666666667,76.3,55.9,59.3774333333333,NA,46046666666.6667,9.2398e+10,33214233333.3333,"2.87","2.18",6
"66","Indonesia",16.538798,23.286845,4.21666666666667,4.85337666666667,87.7937333333333,69.4912666666667,117.038,7.451255,NA,NA,19493066666.6667,"4.76","5.11",3
"67","Iran (Islamic Republic of)",NA,NA,4.06666666666667,12.0970666666667,82.7298,79.34595,136.662333333333,2.26268,0,7497600000,26050400000,"0.66","0.46",4
"68","Ireland",NA,NA,83.3333333333333,31.9098333333333,93.9092,96.559,118.274,NA,NA,1046565000,3898066666.66667,"21.04","21.04",3
"69","Israel",NA,NA,NA,29.2623666666667,84.0282666666667,89.0238666666667,152.396,NA,NA,1108430000,5379050000,"12.15","12.15",4
"70","Italy",53.65548,16.896978,66.6666666666667,31.6044333333333,84.3231666666667,87.1030666666667,97.6857666666667,2.924925,NA,7183870000,23377750000,"15.77","15.77",2
"71","Jamaica",28.945475,25.6971125,0,15.5756666666667,81.4393,85.95915,66.6873333333333,3.93382666666667,NA,NA,721293666.666667,"32.44","33.35",2
"72","Japan",54.2931,15.94165,96.6,37.7363,90.2574,85.95245,240.765,2.40514,NA,23296300000,1.35386e+11,"19.91","17.67",4
"73","Jordan",26.315098,15.41128,23.6,7.04305,91.69965,91.5172,68.3113333333333,9.24887333333333,NA,339436500,1195105000,"15.69","11.76",2
"74","Kazakhstan",NA,NA,29.6666666666667,14.7119666666667,96.6795,92.8557,107.118766666667,50.0163666666667,50205800000,593032000,2682050000,"11.77","11.77",NA
"75","Kenya",NA,NA,5.26666666666667,2.30304333333333,47.4679,34.9762,68.0332333333333,166.9695,NA,552975000,2984305000,"7.73","2.5",3
"76","Kiribati",NA,NA,0,0.0479708,58.12575,88,50.7009333333333,7939.095,912650,626132.3,1188965,"29.17","23.37",NA
"77","Korea (Rep. of)",70.59734,16.101152,94,46.6077666666667,99.9658333333333,97.4934,122.468,6.64933,NA,5684413333.33333,51577500000,"18.59","15.14",3
"78","Kuwait",NA,NA,99.95,1.18847,99.84865,99.7355,138.366,13.20465,0,150765000,2607255000,"20.75","19.45",3
"79","Kyrgyzstan",NA,NA,0,6.61611,79.1104,85.5346,90.8758,33.7424666666667,0,150525433.333333,378178333.333333,"2.87","2.46",2
"80","Lao P.D.R.",NA,NA,14,2.551035,76.463,63.1628,62.54915,1.185845,NA,NA,141499000,"4.32","3.49",NA
"81","Latvia",47.5906275,22.9374875,56,25.9127666666667,92.6313666666667,91.9752,120.245,20.8219,NA,106069900,513510333.333333,"16.82","10.51",4
"82","Lesotho",NA,NA,14.9666666666667,0.386901333333333,NA,47.24585,63.5828666666667,84.2079666666667,NA,12169600,98214250,"12.46","8.57",0
"83","Liechtenstein",NA,NA,60,49.4473333333333,93.25175,96.8986,125.336666666667,16.2873666666667,NA,20356866.6666667,82054866.6666667,"22.14","22.14",3
"84","Lithuania",58.6487625,16.7136825,96.5,28.0832666666667,88.1508,88.11355,136.343333333333,25.2546,2001996666.66667,117516000,786703666.666667,"6.83","6.83",4
"85","Luxembourg",NA,NA,98.5,39.0079333333333,98.5175666666667,98.7835,115.5815,10.2976,NA,130404666.666667,194672917.666667,"11.57","8.42",4
"86","Macao, China",NA,NA,93.8333333333333,29.7126333333333,95.08585,88.5751,188.62,16.9034,NA,35843366.6666667,389313333.333333,"11.61","12.54",NA
"87","Madagascar",NA,NA,6.06,0.1159885,22.93585,19.46015,24.74005,401.02355,NA,165639000,379387000,"8.03","3.33",1
"88","Malawi",1.986931,3.6779764,0,0.0794493333333333,17.4099,17.5169,40.7311666666667,155.176333333333,NA,28782100,390358000,"4.68","3.12",1
"89","Malaysia",74.94543,12.91176,69.9,12.9168333333333,96.4216,97.7039666666667,126.543,3.86585,28928866666.6667,1171250000,8171136666.66667,"5.17","6.18",4
"90","Maldives",NA,NA,58.3333333333333,18.5593333333333,92.0168,84.2985,54.7694333333333,81.592,NA,NA,NA,"22.43","14.02",NA
"91","Malta",67.44198,11.284888,100,44.0781,93.4655,91.80665,134.712666666667,5.35600333333333,NA,NA,274696333.333333,"10.51","10.51",3
"92","Mauritania",NA,NA,NA,0.650717,53.04865,35.8405,67.0308333333333,33.7199333333333,NA,115739000,316546000,"6.28","2.51",0
"93","Mauritius",NA,NA,49.3333333333333,27.0263,75.775,77.5,133.169333333333,5.29605333333333,NA,NA,248596666.666667,"9.76","6.85",4
"94","Mexico",43.9266,11.9183925,33.92,21.0322,70.0774,79.9077,98.0858333333333,8.50120666666667,42524210000,3282150000,29042100000,"14.69","8.81",4
"95","Moldova",NA,NA,NA,27.7529333333333,70.7186333333333,78.4769,94.6752666666667,6.13496666666667,NA,74011700,280788666.666667,"3.79","3.79",4
"96","Monaco",NA,NA,100,55.5967333333333,98.0745,99.1497,101.113233333333,6.28641333333333,NA,NA,92733900,"52.59","52.59",NA
"97","Mongolia",NA,NA,NA,14.4124666666667,81.44415,82.59435,119.067,26.1522666666667,NA,106056266.666667,635953666.666667,"5.87","4.78",4
"98","Montenegro",NA,NA,84.1333333333333,32.0710333333333,82.5810333333333,88.9699,110.746666666667,8.81246,74728866.6666667,81869166.6666667,276846666.666667,"10.52","10.52",3
"99","Morocco",NA,NA,0,6.93205333333333,88.05,90.45,93.9649666666667,3.29712,NA,808565500,3475965000,"7.06","2.52",3
