"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/AT/2017","2017","AT","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.0201216,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/BE/2017","2017","BE","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.00152248,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/BG/2017","2017","BG","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.0956118,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/CY/2018","2018","CY","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/CZ/2017","2017","CZ","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.05245,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/CZ/2018","2018","CZ","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.064678,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/DE/2017","2017","DE","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.01775,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/DK/2017","2017","DK","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.145167,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/EE/2017","2017","EE","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.121185,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/FI/2017","2017","FI","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.0790301,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/FR/2017","2017","FR","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.0519264,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/IE/2017","2017","IE","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.013684,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/LT/2017","2017","LT","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.12525,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/LU/2017","2017","LU","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.128644,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/LV/2017","2017","LV","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.212908,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/LV/2018","2018","LV","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.214225,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/MT/2017","2017","MT","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.040075,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/PL/2017","2017","PL","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.036953,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/PL/2018","2018","PL","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.0531992,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/PT/2017","2017","PT","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.123995,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/RO/2017","2017","RO","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.149263,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/RO/2018","2018","RO","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.152413,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/SE/2017","2017","SE","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.152021,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_fttpc/pc_desi_c_fbbc/SI/2017","2017","SI","desi_c_fbbc","desi_fttpc","pc_desi_c_fbbc",0.125978,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.129303,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.181438,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.205911,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.20939,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.267111,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.293953,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.442723,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.500084,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.561561,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/AT/2017","2017","AT",,,,0.656374,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.190312,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.249374,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.264823,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.27445,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.299337,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.345632,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.364287,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.458116,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.470938,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BE/2017","2017","BE",,,,0.525754,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BG/2017","2017","BG",,,,-0.0474649,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BG/2017","2017","BG",,,,0.0603165,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BG/2017","2017","BG",,,,0.080012,,
"http://semantic.digital-agenda-data.eu/data/DESI/0/0/0/BG/2017","2017","BG",,,,0.0887181,,
