Year;ISO2C;ISO3C;Entity;Region;Income Group;Digital Evolution Zone;Is Country;Digital Evolution Score;Digital Evolution Momentum;Digital Evolution Score Rank;Digital Evolution Momentum Rank;Supply Conditions Score;Supply Conditions Momentum;Supply Conditions Score Rank;Supply Conditions Momentum Rank;Supply Zone;Demand Conditions Score;Demand Momentum;Demand Conditions Score Rank;Demand Momentum Rank;Demand Zone;Institutional Environment Score;Institutional Environment Momentum;Institutional Environment Score Rank;Institutional Environment Momentum Rank;Institutional Environment Zone;Innovation and Change Score;Innovation and Change Momentum;Innovation and Change Score Rank;Innovation and Change Momentum Rank;Innovation and Change Zone
2019;AE;ARE;United Arab Emirates;Middle East & Africa;High income;Stand Out;1;74.44;56.06;24;16;69.78;66;31;39;Stand Out;87.52;44.61;18;48;Stall Out;76.65;33.81;19;29;Stand Out;57.02;49;20;10;Stand Out
2019;AR;ARG;Argentina;Latin America & Caribbean;Upper middle income;Break Out;1;48.26;49.26;57;36;54.15;69.82;54;25;Break Out;59.16;39.9;50;67;Watch Out;43.73;32.62;59;34;Break Out;25.71;39.87;77;44;Break Out
2019;AU;AUS;Australia;Asia Pacific;High income;Stall Out;1;80.09;33.78;17;88;84.27;54.95;11;84;Stall Out;95.29;45.88;8;40;Stand Out;79.99;19.45;16;90;Stall Out;56.14;35.59;21;75;Stall Out
2019;AT;AUT;Austria;Europe & Central Asia;High income;Stall Out;1;75.42;36.4;21;83;77.57;57.23;21;78;Stall Out;86.14;41.05;19;62;Stall Out;77.1;22.58;18;87;Stall Out;54.53;37.74;25;62;Stall Out
2019;AZ;AZE;Azerbaijan;Europe & Central Asia;Upper middle income;Break Out;1;51.85;65.28;53;2;56.03;71.01;52;19;Break Out;43.35;37.3;67;79;Watch Out;49.93;49.92;51;1;Break Out;43.05;48.94;33;11;Break Out
2019;BE;BEL;Belgium;Europe & Central Asia;High income;Stall Out;1;74.51;36.17;23;84;77.12;56.88;23;81;Stall Out;88.36;46.04;16;37;Stand Out;73.49;25.35;22;74;Stall Out;52.88;32.83;26;85;Stall Out
2019;BD;BGD;Bangladesh;Asia Pacific;Lower middle income;Break Out;1;32.67;54.06;83;23;36.68;69.83;77;24;Break Out;28.74;49.47;84;23;Break Out;27.57;36.75;81;14;Break Out;20.96;38.87;86;54;Watch Out
2019;BG;BGR;Bulgaria;Europe & Central Asia;Upper middle income;Break Out;1;57.14;55.02;42;18;69.52;71.28;33;18;Break Out;55.85;41.75;54;57;Watch Out;55.59;35.57;41;19;Break Out;36.71;43.96;49;21;Break Out
2019;BH;BHR;Bahrain;Middle East & Africa;High income;Break Out;1;63;54.65;36;21;60.89;57.64;47;77;Watch Out;78.24;50.4;27;22;Stand Out;63.01;32.85;35;33;Break Out;42.25;49.7;38;6;Break Out
2019;BA;BIH;Bosnia & Herzegovina;Europe & Central Asia;Upper middle income;Watch Out;1;39.65;40.3;77;71;44.38;56.89;72;80;Watch Out;54.23;39.54;59;70;Watch Out;26.7;28.03;82;57;Watch Out;20.67;38.75;87;56;Watch Out
2019;BO;BOL;Bolivia;Latin America & Caribbean;Lower middle income;Break Out;1;30.82;50.73;87;30;38.52;64.54;76;40;Break Out;41.69;52.9;70;15;Break Out;6;27.05;90;65;Watch Out;19.78;42.78;90;24;Break Out
2019;BR;BRA;Brazil;Latin America & Caribbean;Upper middle income;Watch Out;1;47.19;39.19;59;76;53.33;59.48;55;68;Watch Out;58.3;45.17;52;44;Break Out;36.06;27.88;69;59;Watch Out;29;33.35;70;81;Watch Out
2019;CA;CAN;Canada;North America;High income;Stall Out;1;80.24;38.12;16;81;79.12;58.38;20;75;Stall Out;91.77;45.31;13;43;Stand Out;83;23.57;13;83;Stall Out;61.22;36.79;15;67;Stall Out
2019;CH;CHE;Switzerland;Europe & Central Asia;High income;Stall Out;1;86.89;43.44;6;62;97.06;71.37;3;17;Stand Out;89.12;37.79;15;78;Stall Out;82.97;28;14;58;Stall Out;70.8;36.54;7;70;Stall Out
2019;CL;CHL;Chile;Latin America & Caribbean;High income;Break Out;1;62.13;48.59;38;39;66.25;67.59;39;37;Break Out;67.75;56.73;43;8;Break Out;66.68;23.91;29;81;Stall Out;39.67;40.2;43;41;Break Out
2019;CN;CHN;China;Asia Pacific;Upper middle income;Break Out;1;61.89;85.51;39;1;65.14;77.24;40;6;Break Out;82.28;93.42;23;1;Stand Out;30.49;33.71;77;30;Break Out;56.02;58.65;23;1;Stand Out
2019;CI;CIV;Côte d’Ivoire;Middle East & Africa;Lower middle income;Break Out;1;32.16;60.1;85;8;22.88;64.26;87;42;Break Out;34.68;43.33;78;52;Watch Out;28.13;41.87;80;6;Break Out;26.02;49.08;76;9;Break Out
2019;CM;CMR;Cameroon;Middle East & Africa;Lower middle income;Break Out;1;28.01;55.45;88;17;25.63;76.48;85;7;Break Out;25.89;38.5;86;77;Watch Out;15.03;27;88;66;Watch Out;25.61;50.03;78;5;Break Out
2019;CO;COL;Colombia;Latin America & Caribbean;Upper middle income;Watch Out;1;43.8;42.12;66;67;48.75;58.74;61;74;Watch Out;43.73;41.08;66;61;Watch Out;38.74;29.25;64;46;Watch Out;29.77;39.04;67;52;Watch Out
2019;CR;CRI;Costa Rica;Latin America & Caribbean;Upper middle income;Watch Out;1;52.08;45.63;52;51;52.12;63.62;57;47;Watch Out;55.35;39.43;56;71;Watch Out;52.14;47.41;47;2;Break Out;36.88;27.6;48;89;Watch Out
2019;CZ;CZE;Czechia;Europe & Central Asia;High income;Stand Out;1;68.68;50.89;27;29;74.75;71.43;26;16;Stand Out;77.45;42.11;32;56;Stall Out;62.23;30.85;37;40;Break Out;51.17;42.04;27;31;Stand Out
2019;DE;DEU;Germany;Europe & Central Asia;High income;Stand Out;1;79.27;48.28;18;42;79.48;64.36;19;41;Stand Out;85.35;44.94;20;45;Stand Out;83.51;29.53;11;45;Stand Out;61.82;42.72;13;27;Stand Out
2019;DK;DNK;Denmark;Europe & Central Asia;High income;Stall Out;1;87.17;43.78;5;61;97.56;79.03;2;2;Stand Out;98.62;49.46;3;24;Stand Out;87.28;20.27;6;89;Stall Out;61.38;33.26;14;82;Stall Out
2019;DZ;DZA;Algeria;Middle East & Africa;Lower middle income;Break Out;1;34.31;54.88;79;19;34.97;54.59;80;87;Watch Out;40.81;48.32;72;29;Break Out;26.57;36.28;83;15;Break Out;20.06;49.67;88;7;Break Out
2019;EC;ECU;Ecuador;Latin America & Caribbean;Upper middle income;Watch Out;1;40.9;44.23;73;58;46.49;64.14;65;43;Break Out;37.85;24.33;76;86;Watch Out;42.1;35.95;61;18;Break Out;23.51;41.16;82;38;Break Out
2019;EG;EGY;Egypt;Middle East & Africa;Lower middle income;Watch Out;1;39.41;39.51;78;75;48.21;59.38;62;73;Watch Out;29.53;38.61;83;75;Watch Out;35.12;29.11;73;48;Watch Out;28.13;36.52;74;71;Watch Out
2019;ES;ESP;Spain;Europe & Central Asia;High income;Stall Out;1;66.95;40.51;30;70;77.17;59.55;22;66;Stall Out;78.84;38.57;26;76;Stall Out;63.97;28.97;34;50;Watch Out;41.01;37.53;41;64;Watch Out
2019;EE;EST;Estonia;Europe & Central Asia;High income;Stand Out;1;76.66;48.97;20;38;81.39;70.83;14;20;Stand Out;87.87;45.96;17;39;Stand Out;81.72;28.28;15;55;Stall Out;50.91;40.16;28;43;Stand Out
2019;ET;ETH;Ethiopia;Middle East & Africa;Low income;Watch Out;1;21.11;43.26;90;64;18.57;62.43;90;54;Watch Out;16.26;4.27;89;90;Watch Out;8.35;28.05;89;56;Watch Out;19.86;57.09;89;2;Break Out
2019;FI;FIN;Finland;Europe & Central Asia;High income;Stall Out;1;87.3;38.55;4;79;86.4;61.77;7;56;Stall Out;97.14;47.74;6;31;Stand Out;94.63;26.29;2;68;Stall Out;66.73;32.31;10;87;Stall Out
2019;FR;FRA;France;Europe & Central Asia;High income;Stall Out;1;72.99;43.37;25;63;75.71;58.12;24;76;Stall Out;82;41.54;24;58;Stall Out;71.93;33.84;23;28;Stand Out;54.57;37.39;24;65;Stall Out
2019;GB;GBR;United Kingdom;Europe & Central Asia;High income;Stall Out;1;81.48;44.81;13;55;80.13;63.45;17;48;Stall Out;95.18;46.75;9;33;Stand Out;84.9;29.16;9;47;Stall Out;60.73;37.75;17;61;Stall Out
2019;GE;GEO;Georgia;Europe & Central Asia;Upper middle income;Break Out;1;53.46;60.72;47;7;59;77.51;50;5;Break Out;53.7;52.98;60;14;Break Out;60.07;39.68;39;9;Break Out;31.17;39.54;62;49;Watch Out
2019;GH;GHA;Ghana;Middle East & Africa;Lower middle income;Break Out;1;41.69;49.89;71;32;29.68;60.92;84;60;Watch Out;44.78;52.59;65;16;Break Out;50.8;31.22;49;37;Break Out;28.79;41.69;71;34;Break Out
2019;GR;GRC;Greece;Europe & Central Asia;High income;Watch Out;1;56.54;41.39;44;68;63.88;56.37;42;82;Watch Out;69.45;48.78;42;27;Break Out;48.92;24.88;52;78;Watch Out;34.54;39.04;55;51;Watch Out
2019;HK;HKG;Hong Kong;Asia Pacific;High income;Stand Out;1;88.12;56.91;3;15;81.98;59.55;13;67;Stall Out;90.41;51.57;14;18;Stand Out;83.24;26.38;12;67;Stall Out;86.37;56.78;2;3;Stand Out
