"","entityIso","entityName.x","dataYear","Active mobile-broadband subscriptions per 100 people","Data and voice mobile-broadband subscriptions per 100 people","Fixed-broadband subscriptions per 100 people","At least 3G %","At least LTE/WiMAX %","Active mobile-broadband subscriptions count","At least 2G %","256 kbit/s to less than 2 Mbit/s count","256 kbit/s to less than 2 Mbit/s % fixed broadband subscriptions","256 kbit/s to less than 2 Mbit/s per 100 people","2 Mbit/s to less than 10 Mbit/s count","2 Mbit/s to less than 10 Mbit/s per 100 people","Fixed-broadband subscriptions count","Equal to or above 10 Mbit/s count","Equal to or above 10 Mbit/s per 100 people","Satellite broadband count","Terrestrial fixed wireless count","Fibre-to-the-home/building count","Other fixed broadband count","Households with Internet access at home %","DSL  count","Data and voice mobile-broadband subscriptions count","Data-only mobile-broadband subscriptions count","Active subscriptions to LTE/WiMAX mobile-broadband networks count","Cable modem count","10 Mbit/s to less than 30 Mbit/s count","30 Mbit/s to less than 100 Mbit/s count","Equal to or above 100 Mbit/s count","Equal to or above 10 Mbit/s % fixed broadband subscriptions","2 Mbit/s to less than 10 Mbit/s % fixed broadband subscriptions","At least 5G %","entityName.y","Female %","Male %","Individuals using the Internet %","entityName","Full-time equivalent telecommunication employees  per 1000 main lines","Annual foreign investment in telecommunications LCU","Full-time equivalent telecommunication employees  count","Full-time equivalent telecommunication employees  female","Revenue from all telecommunication services USD","Annual investment in telecommunication services USD","Revenue from all telecommunication services per employee","Annual investment in telecommunication services As % of revenues","Individuals with basic ICT skills in safety","Individuals with above basic ICT skills in safety","Individuals with basic ICT skills in information and data literacy","Individuals with above basic ICT skills in information and data literacy","Individuals with basic ICT skills in digital content creation","Individuals with above basic ICT skills in digital content creation","Individuals with basic skills in communication and collaboration","Individuals with above basic ICT skills in communication and collaboration","Individuals with basic ICT skills in problem solving","Individuals with above basic ICT skills in problem solving"
"1","AFG","Afghanistan",2018,19.0436,16.1662,0.0435429,55,7,6997210,90,15121,94.5122,0.0411534,734,0.00199766,15999,144,0.000391911,NA,458,NA,NA,7.2703,15643,5939970,1057240,138079,NA,NA,NA,NA,0.900056,4.58779,NA,"Afghanistan",NA,NA,16.8,"Afghanistan",111.069,0,14194,573,664938000,80344400,46846.4,12.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ALB","Albania",2018,62.5381,58.4151,12.5058,99.2,85.5,1810000,99.86,4936,1.36374,0.170546,253144,8.7465,361947,103867,3.58876,639,12556,85073,28,32.9222,198107,1690670,119327,NA,65544,89424,11650,2793,28.6967,69.9395,NA,"Albania",NA,NA,65.4,"Albania",13.0635,NA,3248,1389,222512000,60946100,68507.4,27.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DZA","Algeria",2018,81.1217,77.302,7.21567,97.45,52.84,34480800,98.04,7999,0.260807,0.0188189,2194170,5.16214,3067020,864853,2.03471,1498,864265,11369,10794,74.3912,2179100,32857200,1623570,18920800,0,864560,259,34,28.1985,71.5407,0,"Algeria",42.8598,55.1302,49.0385,"Algeria",7.18676,0,30191,9891,3495750000,846653000,115788,24.2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AND","Andorra",2018,61.9249,NA,47.4482,98,85,46544,99.5,0,0,0,0,0,35663,35663,47.4482,NA,NA,35663,0,94.4581,0,NA,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,"Andorra",NA,NA,NA,NA,103541000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AGO","Angola",2018,18.5964,17.351,0.350067,85,8,5820150,90,35802,32.6777,0.114394,54261,0.173374,109561,17684,0.0565035,337,22311,61821,NA,6.7114,8736,5430370,389783,230011,16356,17689,4,NA,16.1408,49.5258,NA,"Angola",NA,NA,29,"Angola",42.2849,2242910000,7267,2591,NA,114564000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AZE","Azerbaijan",2018,59.0569,51.9109,18.8342,97.1,49,5929190,100,850550,44.9809,8.4718,831649,8.28353,1890910,208714,2.07887,62,110854,192556,2745,78.2,1565580,5211740,717441,604155,19115,125228,52179,31307,11.0377,43.9813,NA,"Azerbaijan",75.8247,83.8583,79.8,"Azerbaijan",15.8028,83100000,26571,7899,1115900000,259703000,41996.9,23.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARG","Argentina",2018,NA,NA,18.9759,95,90.76,NA,98,339936,4.01168,0.761252,3466070,7.76191,8473660,4528810,10.1418,8967,264302,388013,169515,80.3,3329030,NA,NA,NA,4313830,3147410,1175390,206003,53.4458,40.9041,NA,"Argentina",NA,NA,77.7,"Argentina",NA,NA,NA,NA,13232300000,1889980000,NA,14.2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AUS","Australia",2018,128.457,96.7288,33.5486,99.4,99.2,32268000,99.4,NA,NA,NA,NA,NA,8427320,4794390,19.0862,135551,272879,1637830,NA,86.744,4869030,24298000,7970000,32268000,1512030,2109980,2287960,396445,56.8911,NA,NA,"Australia",NA,NA,90,"Australia",11.4921,NA,94235,19703,3.4579e+10,10257700000,366945,29.6644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AUT","Austria",2018,103.953,73.6968,28.515,98,98,9191180,99,3000,0.118991,0.0339303,767100,8.67598,2521200,1751100,19.8051,NA,28200,63000,NA,88.7751,1559000,6516020,2675160,NA,871000,755200,708200,287700,69.455,30.426,NA,"Austria",85.4365,89.5495,87.4791,"Austria",3.63179,NA,13566,NA,4341580000,806407000,320034,18.5741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BHS","Bahamas",2018,80.0625,NA,20.6785,98,95,314419,99,NA,NA,NA,13845,3.52544,81208,67363,17.1531,NA,NA,9155,NA,90.925,19203,NA,NA,150316,55312,NA,NA,NA,82.9512,17.0488,NA,"Bahamas",NA,NA,83,"Bahamas",10.7003,NA,1214,664,378101000,70631600,311450,18.6806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
