"","Year","Entity","Region","Pillar","Value"
"1",2019,"Australia","Asia Pacific","DII",80.09
"2",2019,"Australia","Asia Pacific","DII_Supply",84.27
"3",2019,"Australia","Asia Pacific","DII_Demand",95.29
"4",2019,"Australia","Asia Pacific","DII_Institutions",79.99
"5",2019,"Australia","Asia Pacific","DII_Innovation",56.14
"6",2019,"Australia","Asia Pacific","ADII_Trade_Logistics",90.72
"7",2019,"Australia","Asia Pacific","ADII_Cybersecurity",90.77
"8",2019,"Australia","Asia Pacific","ADII_Digital_Payments",88
"9",2019,"Australia","Asia Pacific","ADII_Human_Skills",52.99
"10",2019,"Australia","Asia Pacific","ADII_Innovation",66.3
"11",2019,"Australia","Asia Pacific","ADII_Institutions_Infrastructure",60.87
"12",2019,"Australia","Asia Pacific","ADII",74.9416666666667
"13",2019,"China","Asia Pacific","DII",61.89
"14",2019,"China","Asia Pacific","DII_Supply",65.14
"15",2019,"China","Asia Pacific","DII_Demand",82.28
"16",2019,"China","Asia Pacific","DII_Institutions",30.49
"17",2019,"China","Asia Pacific","DII_Innovation",56.02
"18",2019,"China","Asia Pacific","ADII_Trade_Logistics",86.5
"19",2019,"China","Asia Pacific","ADII_Cybersecurity",75.73
"20",2019,"China","Asia Pacific","ADII_Digital_Payments",74.73
"21",2019,"China","Asia Pacific","ADII_Human_Skills",64.76
"22",2019,"China","Asia Pacific","ADII_Innovation",68.74
"23",2019,"China","Asia Pacific","ADII_Institutions_Infrastructure",53.63
"24",2019,"China","Asia Pacific","ADII",70.6816666666667
"25",2019,"Indonesia","Asia Pacific","DII",47.72
"26",2019,"Indonesia","Asia Pacific","DII_Supply",49.1
"27",2019,"Indonesia","Asia Pacific","DII_Demand",47.52
"28",2019,"Indonesia","Asia Pacific","DII_Institutions",44.75
"29",2019,"Indonesia","Asia Pacific","DII_Innovation",35.61
"30",2019,"Indonesia","Asia Pacific","ADII_Trade_Logistics",49.67
"31",2019,"Indonesia","Asia Pacific","ADII_Cybersecurity",78.43
"32",2019,"Indonesia","Asia Pacific","ADII_Digital_Payments",59.73
"33",2019,"Indonesia","Asia Pacific","ADII_Human_Skills",45.64
"34",2019,"Indonesia","Asia Pacific","ADII_Innovation",48.81
"35",2019,"Indonesia","Asia Pacific","ADII_Institutions_Infrastructure",62.44
"36",2019,"Indonesia","Asia Pacific","ADII",57.4533333333333
"37",2019,"Japan","Asia Pacific","DII",77.76
"38",2019,"Japan","Asia Pacific","DII_Supply",79.78
"39",2019,"Japan","Asia Pacific","DII_Demand",84.18
"40",2019,"Japan","Asia Pacific","DII_Institutions",75.83
"41",2019,"Japan","Asia Pacific","DII_Innovation",62.95
"42",2019,"Japan","Asia Pacific","ADII_Trade_Logistics",93.36
"43",2019,"Japan","Asia Pacific","ADII_Cybersecurity",90.93
"44",2019,"Japan","Asia Pacific","ADII_Digital_Payments",82
"45",2019,"Japan","Asia Pacific","ADII_Human_Skills",54.77
"46",2019,"Japan","Asia Pacific","ADII_Innovation",77.32
"47",2019,"Japan","Asia Pacific","ADII_Institutions_Infrastructure",60.67
"48",2019,"Japan","Asia Pacific","ADII",76.5083333333333
"49",2019,"Cambodia","Asia Pacific","DII",32.31
"50",2019,"Cambodia","Asia Pacific","DII_Supply",32.82
"51",2019,"Cambodia","Asia Pacific","DII_Demand",32.83
"52",2019,"Cambodia","Asia Pacific","DII_Institutions",25.22
"53",2019,"Cambodia","Asia Pacific","DII_Innovation",21.75
"54",2019,"Cambodia","Asia Pacific","ADII_Trade_Logistics",33.91
"55",2019,"Cambodia","Asia Pacific","ADII_Cybersecurity",24.76
"56",2019,"Cambodia","Asia Pacific","ADII_Digital_Payments",41.2
"57",2019,"Cambodia","Asia Pacific","ADII_Human_Skills",36.56
"58",2019,"Cambodia","Asia Pacific","ADII_Innovation",38.19
"59",2019,"Cambodia","Asia Pacific","ADII_Institutions_Infrastructure",50.97
"60",2019,"Cambodia","Asia Pacific","ADII",37.5983333333333
"61",2019,"South Korea","Asia Pacific","DII",83.09
"62",2019,"South Korea","Asia Pacific","DII_Supply",91.55
"63",2019,"South Korea","Asia Pacific","DII_Demand",100
"64",2019,"South Korea","Asia Pacific","DII_Institutions",64.06
"65",2019,"South Korea","Asia Pacific","DII_Innovation",68.61
"66",2019,"South Korea","Asia Pacific","ADII_Trade_Logistics",89.28
"67",2019,"South Korea","Asia Pacific","ADII_Cybersecurity",88.42
"68",2019,"South Korea","Asia Pacific","ADII_Digital_Payments",81.42
"69",2019,"South Korea","Asia Pacific","ADII_Human_Skills",53.77
"70",2019,"South Korea","Asia Pacific","ADII_Innovation",77.92
"71",2019,"South Korea","Asia Pacific","ADII_Institutions_Infrastructure",63.59
"72",2019,"South Korea","Asia Pacific","ADII",75.7333333333333
"73",2019,"Laos","Asia Pacific","DII",32.14
"74",2019,"Laos","Asia Pacific","DII_Supply",35.42
"75",2019,"Laos","Asia Pacific","DII_Demand",27.3
"76",2019,"Laos","Asia Pacific","DII_Institutions",18.05
"77",2019,"Laos","Asia Pacific","DII_Innovation",28.25
"78",2019,"Laos","Asia Pacific","ADII_Trade_Logistics",23.22
"79",2019,"Laos","Asia Pacific","ADII_Cybersecurity",32.58
"80",2019,"Laos","Asia Pacific","ADII_Digital_Payments",44.53
"81",2019,"Laos","Asia Pacific","ADII_Human_Skills",43.89
"82",2019,"Laos","Asia Pacific","ADII_Innovation",36.91
"83",2019,"Laos","Asia Pacific","ADII_Institutions_Infrastructure",38.27
"84",2019,"Laos","Asia Pacific","ADII",36.5666666666667
"85",2019,"Malaysia","Asia Pacific","DII",69.03
"86",2019,"Malaysia","Asia Pacific","DII_Supply",64.07
"87",2019,"Malaysia","Asia Pacific","DII_Demand",71.13
"88",2019,"Malaysia","Asia Pacific","DII_Institutions",68.49
"89",2019,"Malaysia","Asia Pacific","DII_Innovation",61.12
"90",2019,"Malaysia","Asia Pacific","ADII_Trade_Logistics",67.35
"91",2019,"Malaysia","Asia Pacific","ADII_Cybersecurity",91.27
"92",2019,"Malaysia","Asia Pacific","ADII_Digital_Payments",79.2
"93",2019,"Malaysia","Asia Pacific","ADII_Human_Skills",57.85
"94",2019,"Malaysia","Asia Pacific","ADII_Innovation",59.22
"95",2019,"Malaysia","Asia Pacific","ADII_Institutions_Infrastructure",82.18
"96",2019,"Malaysia","Asia Pacific","ADII",72.845
"97",2019,"New Zealand","Asia Pacific","DII",80.46
"98",2019,"New Zealand","Asia Pacific","DII_Supply",80.77
"99",2019,"New Zealand","Asia Pacific","DII_Demand",94.96
"100",2019,"New Zealand","Asia Pacific","DII_Institutions",86.08
"101",2019,"New Zealand","Asia Pacific","DII_Innovation",56.06
"102",2019,"New Zealand","Asia Pacific","ADII_Trade_Logistics",92.04
"103",2019,"New Zealand","Asia Pacific","ADII_Cybersecurity",85.91
