"","zmienna","p_ANOVA","p_KW","2-1","3-1","3-2","4-1","4-2","4-3"
"wyniki","above",0,0,0,0.201,0.016,0,0.366,0.001
"row","basic",0.107,0.141,0.082,0.304,0.744,0.728,0.887,1
"row.1","X5G",0,0,0,0.972,0,0,0.958,0
"row.2","fixed",0,0.001,0.192,0.656,0.013,0.001,0.06,0
"row.3","home_internet",0.001,0.002,0.027,0.81,0.114,0.002,0.369,0.008
"row.4","internet_use",0,0.002,0,0.244,0.012,0.21,0.527,0.841
"row.5","mobile",0,0,0,0,0.961,0,0.022,0.005
"row.6","investments",0.08,0.04,1,0.217,0.297,0.291,0.299,0.815
"row.7","revenue",0.031,0.09,0.997,0.976,0.998,0.044,0.037,0.019
"row.8","price_big",0,0,0.628,0.993,0.735,0,0,0
"row.9","price_small",0,0,0.224,0.874,0.516,0,0,0
"row.10","gov_policies",0.003,0.013,0.849,0.589,0.204,0.009,0.002,0.052
"row.11","traffic",0.01,0.02,0.027,0.014,0.997,0.43,0.983,0.994
