Country,Pillar 1 Score: Digitally Enabled Trade & Logistics,Pillar 2 Score: Data Protection & Cybersecurity,Pillar 3 Score: Digital Payments & Identities,Pillar 4 Score: Digital Skills & Talent,Pillar 5 Score: Innovation & Entrepreneurship,Pillar 6 Score: Institutional & Infrastructural Readiness
Singapore,86.00,99.09,91.98,64.95,71.81,85.41
Malaysia,73.49,98.71,83.98,60.85,57.16,84.41
Thailand,87.37,93.84,91.38,45.68,57.35,74.21
Viet Nam,78.46,89.27,68.33,49.62,46.00,69.34
Philippines,66.00,86.15,61.83,51.77,52.89,59.26
Indonesia,58.91,93.12,62.47,40.67,50.16,69.59
Brunei Darussalam,66.39,55.70,83.49,51.52,42.99,71.42
Cambodia,45.14,24.65,64.12,40.31,41.02,66.26
Lao PDR,24.51,27.96,50.39,49.63,50.99,49.28
Myanmar,31.94,31.44,42.29,39.51,47.93,57.05
Australia,92.00,97.75,95.50,53.86,65.80,80.87
China,89.77,94.60,83.87,66.19,70.56,72.65
Japan,93.20,98.22,85.00,47.52,76.40,80.53
New Zealand,90.00,90.73,95.75,58.97,65.45,80.94
South Korea,91.60,99.09,88.89,40.86,80.87,83.35
United States,91.20,98.33,89.00,62.14,82.93,88.04
