entity;digital_skills
Finland;5.8
Iceland;5.7
Israel;5.5
Denmark;5.4
Estonia;5.4
Malaysia;5.4
Hong Kong SAR;5.2
Luxembourg;5.2
Azerbaijan;5.1
Canada;5.1
Germany;5.1
Australia;5.0
Korea, Rep.;5.0
Lebanon;5.0
Bahrain;4.9
Brunei Darussalam;4.9
Costa Rica;4.9
Cyprus;4.9
Lithuania;4.9
Austria;4.8
Belgium;4.8
Czech Republic;4.8
Latvia;4.8
Bulgaria;4.7
Egypt;4.7
Malta;4.7
China;4.7
Armenia;4.5
France;4.5
Indonesia;4.5
Moldova;4.5
India;4.4
Japan;4.4
Chile;4.3
Mauritius;4.3
Ghana;4.2
Italy;4.2
Kuwait;4.2
Greece;4.1
Lao PDR;4.1
Albania;4.0
Algeria;4.0
Argentina;4.0
Cape Verde;4.0
Gambia, The;4.0
Hungary;4.0
Barbados;3.9
Cameroon;3.9
Kyrgyz Republic;3.9
Malawi;3.9
Mauritania;3.9
Colombia;3.8
Côte d'Ivoire;3.8
Ecuador;3.8
Ethiopia;3.8
Jamaica;3.8
Mexico;3.8
Benin;3.7
Bosnia and Herzegovina;3.7
Botswana;3.7
Croatia;3.7
Georgia;3.7
Cambodia;3.6
Dominican Republic;3.6
Honduras;3.6
Mali;3.6
Bangladesh;3.5
Eswatini;3.5
Lesotho;3.5
Guinea;3.4
Guatemala;3.3
Bolivia;3.2
Burundi;3.2
El Salvador;3.2
Gabon;3.2
Mongolia;3.2
Brazil;3.1
Madagascar;3.1
Burkina Faso;2.9
Chad;2.9
Congo, Democratic Rep.;2.8
Haiti;2.7
Angola;2.4
