Economy,Income Group,Region,IDI Score,Univ. score,M. score,Source
Kuwait,HI,ARB,98.2,97.0,99.3,1
Singapore,HI,ASP,97.4,99.4,95.4,1
Qatar,HI,ARB,97.3,98.7,96.0,1
Denmark,HI,EUR,96.9,98.2,95.6,1
Estonia,HI,EUR,96.9,97.5,96.4,1
Finland,HI,EUR,96.7,98.1,95.2,1
United States,HI,AMS,96.6,99.1,94.1,1
Bahrain,HI,ARB,96.5,96.7,96.2,1
"Hong Kong, China",HI,ASP,96.5,99.1,93.8,1
United Arab Emirates,HI,ARB,96.4,100.0,92.8,1
Saudi Arabia,HI,ARB,94.9,93.2,96.5,1
Iceland,HI,EUR,94.8,93.2,96.4,1
Brunei Darussalam,HI,ASP,94.8,95.7,94.0,1
Poland,HI,EUR,94.6,95.7,93.4,1
Malaysia,UMI,ASP,94.5,94.5,94.5,1
Australia,HI,ASP,94.0,93.8,94.2,1
Sweden,HI,EUR,93.9,93.2,94.6,1
Korea (Rep. of),HI,ASP,93.8,92.7,94.9,1
Latvia,HI,EUR,93.8,90.2,97.5,1
Netherlands (Kingdom of the),HI,EUR,93.5,96.5,90.5,1
"Macao, China",HI,ASP,93.3,95.9,90.7,1
United Kingdom,HI,EUR,92.8,91.8,93.8,1
Austria,HI,EUR,92.5,89.2,95.8,1
Lithuania,HI,EUR,92.4,88.1,96.8,1
Luxembourg,HI,EUR,92.1,92.2,92.0,1
Japan,HI,ASP,92.0,93.4,90.7,1
Liechtenstein,HI,EUR,91.9,93.6,90.2,1
Switzerland,HI,EUR,91.6,89.1,94.1,1
Spain,HI,EUR,91.4,90.1,92.7,1
Israel,HI,EUR,91.1,88.3,94.0,1
Norway,HI,EUR,90.9,88.6,93.1,1
Chile,HI,AMS,90.7,88.0,93.4,1
Oman,HI,ARB,90.5,91.5,89.6,1
New Zealand,HI,ASP,89.5,87.4,91.6,1
France,HI,EUR,89.4,84.2,94.6,1
Kazakhstan,UMI,CIS,88.9,85.9,91.9,1
Ireland,HI,EUR,88.9,88.7,89.1,1
Russian Federation,UMI,CIS,88.9,84.5,93.4,1
Thailand,UMI,ASP,88.7,85.9,91.6,1
Bahamas,HI,AMS,88.5,85.1,92.0,1
Slovenia,HI,EUR,88.4,84.0,92.7,1
Belgium,HI,EUR,88.2,85.7,90.8,1
Brazil,UMI,AMS,81.9,78.2,85.5,1
Mauritius,UMI,AFR,81.7,75.2,88.2,1
Uzbekistan,LMI,CIS,81.7,83.6,79.7,1
Albania,UMI,EUR,81.6,74.8,88.3,1
Argentina,UMI,AMS,81.5,78.5,84.5,1
Seychelles,HI,AFR,80.9,75.8,86.0,1
Iran (Islamic Republic of),LMI,ASP,80.9,78.7,83.1,1
