Country name,Legal,Technical,Organization,Capacity Development,Cooperation Measures,Source
Angola,13.67,1.78,5.8,2.91,15.33,1
Benin,20,19.29,20,17.97,14.28,1
Botswana,19.52,16.53,15.12,13.32,14.11,1
Burkina Faso,14.18,12.7,15.16,11.61,16.58,1
Burundi,9.9,0,0,1.03,5.84,1
Cabo Verde,17.36,7.92,12.05,2.19,12.02,1
Cameroon,17.92,6.18,12.86,14.24,14.33,1
Central African Republic,4.76,0,0,0,0,1
Chad,12.94,3.17,11.34,6.94,14.28,1
Congo (Republic of the),14.12,0,3.9,0.72,8.87,1
Côte d'Ivoire,19.43,15.3,17.89,11.11,15.07,1
Democratic Republic of the Congo,17.28,5.45,14.51,8.92,10.45,1
Equatorial Guinea,6.62,1.39,6.43,2.13,8.87,1
Eritrea,1.76,0,0,0,0.45,1
Eswatini,18.2,14.96,18.36,10.21,17.7,1
Ethiopia,18.83,14.37,12.12,15.33,15.69,1
Gabon,20,0,5.51,4.9,9.45,1
Gambia,14.77,10.34,15.77,8.77,12.15,1
Ghana,20,20,20,19.27,20,1
Guinea,16.27,3.98,14.38,9.74,12.02,1
Guinea-Bissau,0,0,0,0,6.43,1
Kenya,19.52,19.07,20,20,20,1
Lesotho,7.54,2.75,3.85,5.27,11.17,1
Liberia,8.15,0,2.76,1.56,8.87,1
Madagascar,13.55,2.88,4.02,5.58,5.84,1
Malawi,18.16,16.06,17.37,12.26,16.58,1
Mali,12.36,4.56,2.9,0.79,8.87,1
Mauritius,20,20,20,20,20,1
Mozambique,13.92,11.83,15.79,7.93,16.58,1
Namibia,5.66,3.54,16.35,4.57,6.81,1
Niger,16.78,1.39,10.72,3.98,8.99,1
Nigeria,19.52,18.88,16.57,13.15,14.28,1
Rwanda,20,18.98,19.34,19.76,20,1
Sao Tome and Principe,9.83,1.39,3.17,0.96,5.09,1
Senegal,15.56,14.41,9.06,9.31,18.83,1
Seychelles,16.75,3.17,10.18,5.88,14.28,1
Sierra Leone,17.29,1.39,18.81,6.95,12.02,1
South Africa,20,18.57,14.84,12.84,20,1
South Sudan,12.47,4.56,7.21,1.27,8.87,1
Tanzania,20,19.69,20,19.57,20,1
Togo,20,15.3,17.88,17.29,18.33,1
Uganda,16.41,18.21,17.61,13.59,17.12,1
Zambia,20,17.62,20,14.97,20,1
Zimbabwe,16.3,1.39,7.38,6.81,7.97,1
Antigua and Barbuda,11.84,0,0,2.36,3.99,1
Argentina,16.96,12.18,12.08,1.88,8.41,1
Bahamas,11.26,3.22,5.47,6.08,7.97,1
Barbados,14.92,3.01,4.17,6.45,7.97,1
Belize,14.13,0,12.38,0,5.84,1
Bolivia (Plurinational State of),13.7,6.18,4.65,8.23,10.23,1
Brazil,20,20,17.29,19.09,20,1
