entity;grad_skills
Finland;77.0
Luxembourg;71.1
Denmark;71.0
Austria;70.8
Israel;68.6
Germany;68.4
Hong Kong SAR;68.0
Ireland;68.0
Malaysia;67.9
Belgium;67.5
Canada;66.6
Costa Rica;65.0
Australia;63.8
Cyprus;63.0
Estonia;62.5
Malta;61.9
France;61.5
Chile;59.7
Korea, Rep.;59.4
China;59.1
Indonesia;59.0
Brunei Darussalam;58.7
Bahrain;58.4
Jamaica;58.3
Japan;58.3
Azerbaijan;57.0
Czech Republic;56.9
Albania;54.9
Colombia;54.6
Italy;54.0
Latvia;53.9
Argentina;53.0
Burundi;52.6
Mauritius;51.7
Mexico;51.5
Cameroon;51.4
Barbados;51.0
Ecuador;51.0
Benin;49.6
Lithuania;48.5
Mali;47.8
Bulgaria;47.1
Dominican Republic;47.0
Côte d'Ivoire;46.6
Cape Verde;46.3
India;46.2
Chad;44.9
Algeria;44.8
Armenia;44.5
Cambodia;44.2
Burkina Faso;43.7
Moldova;43.5
Madagascar;43.0
El Salvador;42.6
Bolivia;42.4
Kuwait;42.1
Botswana;41.7
Lebanon;41.7
Eswatini;41.0
Bangladesh;39.9
Croatia;39.2
Ethiopia;37.2
Mongolia;37.0
Kyrgyz Republic;36.8
Lao PDR;36.8
Brazil;36.7
Congo, Democratic Rep.;36.4
Malawi;36.4
Egypt;35.3
Lesotho;35.3
Bosnia and Herzegovina;35.0
Iran, Islamic Rep.;33.2
Mauritania;32.2
Angola;25.3
