entity;stakeholder_collaboration
Albania;47.1
Algeria;42.7
Angola;22.500
Argentina;42.8
Armenia;44.8
Australia;54.5
Austria;62.9
Azerbaijan;61.9
Bahrain;49.8
Bangladesh;33.5
Barbados;33.6
Belgium;63.3
Benin;41.3
Bolivia;31.100
Bosnia and Herzegovina;31.0
Botswana;40.2
Brazil;44.3
Brunei Darussalam;44.1
Burundi;45.6
Cambodia;43.6
Cameroon;42.8
Canada;63.8
Cape Verde;41.5
Chad;33.5
Chile;44.8
China;57.3
Colombia;45.4
Congo, Democratic Rep.;33.0
Costa Rica;46.7
Côte d'Ivoire;41.5
Croatia;32.9
Cyprus;41.9
Czech Republic;50.5
Denmark;69.5
Dominican Republic;43.3
Ecuador;38.8
Egypt;44.0
El Salvador;38.8
Estonia;52.9
Eswatini;37.4
Ethiopia;39.0
Finland;71.8
France;58.3
Gabon;34.5
Gambia, The;38.1
Georgia;44.1
Germany;70.0
Ghana;50.7
Greece;34.9
Guatemala;45.5
Guinea;42.6
Haiti;23.300
Honduras;42.8
Hong Kong SAR;65.8
Hungary;37.9
Iceland;62.6
India;53.3
Indonesia;59.7
Iran, Islamic Rep.;32.0
Ireland;62.8
Israel;74.1
Italy;45.6
Jamaica;45.6
Japan;61.6
Jordan;49.3
Kazakhstan;45.8
Kenya;52.7
Republic of Korea;56.9
Kuwait;48.2
Kyrgyz Republic;37.7
Lao PDR;48.7
Latvia;47.6
Lebanon;44.0
Lesotho;38.5
Lithuania;54.7
Luxembourg;66.2
Madagascar;41.4
Malawi;35.0
Malaysia;69.0
Mali;44.1
Malta;46.9
Mauritania;30.500
Mauritius;38.3
Maxico;45.3
Moldova;36.2
Mongolia;38.5
Montenegro;48.7
Morocco;37.8
Mozambique;36.2
Namibia;46.4
Nepal;37.2
Netherlands;72.7
New Zealand;61.4
Nicaragua;31.2
Nigeria;37.0
North Macedonia;34.2
Norway;62.4
Oman;54.4
Pakistan;49.6
Panama;43.3
Paraguay;33.6
Peru;36.6
Philippines;61.4
Poland;36.8
Portugal;50.6
Qatar;65.8
Romania;40.4
Russian Federation;49.5
Rwanda;47.9
Saudi Arabia;56.7
Senegal;44.0
Serbia;42.9
Seychelles;50.4
Singapore;66.0
Slovak Republic;43.4
Slovenia;49.4
South Africa;52.6
Spain;43.9
Sri Lanka;45.6
Sweden;72.0
Switzerland;72.1
Taiwan;61.8
Tajikistan;50.1
Tanzania;48.1
Thailand;52.1
Trinidad and Tobago;35.6
Tunisia;36.9
Turkey;43.1
Uganda;45.5
Ukraine;47.0
United Arab Emirates;63.1
United Kingdom;65.5
United States;73.9
Uruguay;41.5
Venezuela;40.4
Viet Nam;43.9
Yemen;27.100
Zambia;36.7
Zimbabwe;37.4
