Country;2017;2019;2022
Albania;2;2;2
Algeria;1;1;1
Angola;2;2;2
Antigua and Barbuda;1;1;1
Argentina;2;2;2
Armenia;1;2;2
Australia;2;2;2
Austria;2;2;2
Azerbaijan;1;1;2
Bahamas;1;1;1
Bahrain;1;1;2
Bangladesh;1;2;2
Barbados;1;1;1
Belarus;1;1;1
Belgium;2;2;2
Belize;1;1;1
Benin;1;1;1
Bhutan;0;1;1
Bolivia;1;1;1
Bosnia and Herzegovina;1;1;1
Botswana;2;2;2
Brazil;1;1;2
Brunei Darussalam;1;1;2
Bulgaria;2;2;2
Burkina Faso;1;1;1
Burundi;0;0;0
Cambodia;2;2;2
Cameroon;2;2;2
Canada;2;2;2
Central African Republic;0;0;1
Chad;0;0;1
Chile;1;2;2
China;2;2;2
Chinese Taipei;2;1;1
Colombia;1;2;2
Comoros;0;1;1
Congo;1;1;1
Costa Rica;2;2;2
Croatia;2;2;2
Cuba;1;1;1
Cyprus;2;2;2
Czechia;1;2;2
Côte d'Ivoire;2;2;2
Denmark;2;2;2
Djibouti;0;0;0
Dominica;2;2;2
Dominican Republic;2;2;2
DRC;0;0;1
Ecuador;1;1;1
Egypt;2;2;2
El Salvador;1;1;1
Estonia;2;2;2
Eswatini;2;2;2
Ethiopia;1;1;1
Fiji;1;1;1
Finland;1;2;2
France;2;2;2
Gabon;0;0;0
Gambia;0;0;1
Georgia;2;2;2
Germany;2;2;2
Ghana;2;2;2
Greece;1;1;2
Guatemala;1;1;1
Honduras;1;1;2
Hong Kong, China;2;2;2
Hungary;1;1;2
Iceland;–;2;2
India;2;2;2
Indonesia;2;2;2
Ireland;2;2;2
Israel;2;2;2
Italy;2;2;2
Jamaica;1;1;1
Japan;2;2;2
Jordan;1;1;1
Kazakhstan;1;1;2
Kenya;2;2;2
Kiribati;0;0;1
Korea;2;2;2
Kuwait;1;1;1
Kyrgyzstan;1;1;1
Lao PDR;2;2;2
Latvia;2;2;2
Lebanon;1;1;1
Lesotho;1;1;1
Liberia;0;1;1
Lithuania;2;2;2
Luxembourg;2;2;2
Madagascar;1;1;1
Malawi;2;2;2
Malaysia;1;1;2
Maldives;1;1;1
Mali;1;1;1
Malta;2;2;2
Mauritius;2;2;2
Mexico;2;2;2
Micronesia;0;1;1
Moldova;1;1;1
Mongolia;1;1;1
Montenegro;1;1;1
Morocco;1;1;1
Mozambique;1;1;1
Myanmar;1;1;1
Namibia;1;1;1
Nepal;1;1;1
Netherlands;2;2;2
New Zealand;2;2;2
Nicaragua;1;1;1
Niger;1;1;1
Nigeria;2;2;2
North Macedonia;1;1;1
Norway;2;2;2
Oman;2;1;2
Pakistan;1;1;1
Palau;0;1;1
Panama;2;2;2
Papua New Guinea;1;1;1
Paraguay;2;2;2
Peru;2;2;2
Philippines;1;1;2
Poland;2;2;2
Portugal;2;2;2
Qatar;1;1;1
Romania;2;2;2
Russia;2;2;2
Rwanda;2;2;2
Samoa;0;0;0
Saudi Arabia;1;1;1
Senegal;2;2;2
Serbia;2;2;2
Sierra Leone;1;1;1
Singapore;2;2;2
Slovak Republic;2;2;2
Slovenia;1;2;2
Solomon Islands;0;0;1
South Africa;2;2;2
Spain;2;2;2
Sri Lanka;1;1;1
Sudan;0;0;0
Suriname;0;0;1
Sweden;2;2;2
Switzerland;2;2;2
Tajikistan;0;1;1
Tanzania;1;1;1
Thailand;2;2;2
Togo;1;1;1
Tonga;2;2;2
Trinidad and Tobago;2;2;2
Tunisia;1;1;1
Türkiye;2;2;2
Uganda;1;1;1
Ukraine;1;1;1
United Arab Emirates;1;1;1
United Kingdom;2;2;2
United States;2;2;2
Uruguay;2;2;2
Uzbekistan;1;1;1
Vanuatu;2;2;2
Venezuela;1;1;1
Viet Nam;2;2;2
Yemen;1;1;1
Zambia;2;2;2
Zimbabwe;1;1;1
