Country;2017;2019;2022
Albania;2;2;2
Algeria;0;2;2
Angola;0;2;2
Argentina;0;0;0
Armenia;2;0;0
Australia;2;2;2
Austria;1;2;2
Azerbaijan;2;0;0
Bahrain;2;2;2
Bangladesh;0;2;2
Belarus;2;2;2
Belgium;1;1;1
Benin;0;2;2
Bolivia;2;0;0
Bosnia and Herzegovina;–;2;–
Botswana;–;2;2
Brazil;0;0;0
Brunei Darussalam;2;2;2
Bulgaria;2;0;0
Burkina Faso;2;2;2
Burundi;2;0;0
Cambodia;0;–;–
Cameroon;0;2;2
Canada;2;2;2
Central African Republic;–;2;2
Chad;0;2;2
Chile;2;2;2
China;0;0;0
Chinese Taipei;2;2;2
Colombia;2;2;2
Congo;0;0;0
Costa Rica;2;2;2
Cuba;0;–;–
Cyprus;0;–;–
Czechia;2;2;2
Côte d'Ivoire;2;2;2
Denmark;2;2;2
Djibouti;1;–;–
Dominican Republic;2;2;2
DRC;0;2;2
Ecuador;0;2;2
Egypt;0;0;0
El Salvador;–;2;2
Estonia;2;2;2
Ethiopia;2;0;0
Finland;2;2;2
France;2;0;0
Gabon;2;2;2
Gambia;2;2;–
Georgia;2;2;2
Germany;0;0;0
Ghana;–;0;2
Greece;2;0;0
Guatemala;0;0;0
Honduras;2;2;2
Hong Kong, China;0;2;2
Hungary;2;2;2
India;0;1;1
Indonesia;0;0;0
Ireland;2;2;2
Israel;2;–;–
Italy;0;0;0
Jamaica;2;2;–
Japan;2;2;2
Jordan;2;2;2
Kazakhstan;2;0;2
Kenya;2;0;2
Korea;2;–;–
Kuwait;2;0;0
Lao PDR;–;2;2
Latvia;2;2;2
Lebanon;0;–;–
Lesotho;–;2;2
Liberia;0;2;2
Lithuania;2;2;2
Luxembourg;2;2;2
Madagascar;–;–;2
Malawi;0;0;0
Malaysia;0;0;0
Mali;–;2;2
Malta;2;2;2
Mauritius;2;2;2
Mexico;0;2;2
Micronesia;–;2;2
Moldova;–;2;–
Mongolia;0;0;0
Morocco;1;0;0
Mozambique;–;–;2
Myanmar;2;0;0
Namibia;–;–;2
Nepal;0;0;0
Netherlands;2;2;2
New Zealand;–;2;2
Nicaragua;1;1;–
Nigeria;1;0;0
North Macedonia;1;2;2
Norway;2;2;2
Oman;2;0;2
Pakistan;1;2;2
Panama;0;2;2
Papua New Guinea;–;2;2
Paraguay;–;2;2
Peru;0;0;0
Philippines;0;0;0
Poland;0;0;0
Portugal;2;2;2
Qatar;0;2;2
Romania;0;0;0
Russia;0;0;0
Rwanda;2;–;2
Saudi Arabia;2;2;0
Senegal;2;2;2
Serbia;2;2;2
Sierra Leone;–;2;2
Singapore;2;2;2
Slovak Republic;2;–;–
Slovenia;2;2;2
South Africa;1;1;2
Spain;0;0;0
Sri Lanka;2;2;2
Sudan;0;2;2
Sweden;2;2;2
Switzerland;2;0;0
Tanzania;2;2;2
Thailand;2;2;2
Togo;0;2;2
Trinidad and Tobago;0;–;–
Tunisia;2;2;2
Türkiye;2;0;0
Uganda;1;2;2
Ukraine;0;–;–
United Arab Emirates;1;2;2
United Kingdom;1;–;–
United States;2;2;2
Uruguay;2;2;2
Uzbekistan;0;0;0
Venezuela;–;0;0
Viet Nam;–;0;0
Zimbabwe;0;–;–
