Economy,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Total Score,Normalized,Rank
Japan,6,6,6,6,6,6,6,6,6,6,6,6,72,10.0,1
South Korea,6,6,6,6,6,6,6,6,6,6,2,6,68,9.4,2
United States*,5,2,6,6,6,6,6,6,6,6,6,6,67,9.3,3
Australia,6,6,6,6,6,6,6,6,6,6,0,6,66,9.2,4
Estonia,6,6,6,6,6,6,6,6,6,6,6,0,66,9.2,4
Germany,6,6,6,6,6,6,6,6,6,6,6,0,66,9.2,4
Mexico,6,6,6,6,6,6,6,6,6,6,0,6,66,9.2,4
Singapore,6,6,6,6,6,6,6,6,6,6,0,6,66,9.2,4
United Kingdom,6,6,6,6,6,6,6,6,6,6,6,0,66,9.2,4
Brazil,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
Canada,6,6,6,6,6,6,6,0,6,6,6,0,60,8.3,10
Hong Kong,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
Malaysia,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
New Zealand,6,6,6,6,6,6,6,0,6,6,6,0,60,8.3,10
Peru,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
Russia,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
South Africa,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
Taiwan,6,6,6,6,6,6,6,0,6,6,0,6,60,8.3,10
Thailand,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
UAE*,6,6,6,6,6,6,6,6,6,6,0,0,60,8.3,10
Brunei,2,6,6,6,6,6,6,6,6,6,0,0,56,7.8,21
Philippines,6,6,6,6,6,6,6,0,6,6,0,2,56,7.8,21
India*,4,0,6,6,6,6,6,6,6,6,0,0,52,7.2,23
Indonesia*,4,0,6,0,6,6,6,6,6,6,0,0,46,6.4,24
Chile,6,0,6,6,6,6,6,0,6,0,0,0,42,5.8,25
Vietnam,2,0,2,2,2,2,2,0,2,2,0,0,16,2.2,26
China,2,0,2,2,0,2,2,0,2,2,0,0,14,1.9,27
Laos*,2,0,2,0,0,2,0,0,0,0,0,0,6,0.8,28
Cambodia,2,0,0,0,0,2,0,0,0,0,0,0,4,0.6,29
Myanmar,2,0,0,0,0,0,0,0,0,0,0,0,2,0.3,30
