Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,71.40158739,..,..,..,87.39880184,..,..,..
Albania,ALB,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,92.79110488,..,..,..,96.97276092,..,..,97.5951438510707
Algeria,DZA,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,95.08714535,..,..,..,96.70001064,..,..,99.7177321215964
Andorra,AND,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8003922485557
Argentina,ARG,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,99.28326574,..,..,..,98.64184835,..,..,99.2969925341791
Armenia,ARM,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.550209622622,..,..,..
Australia,AUS,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.6252271248186
Australia,AUS,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.7264414132939
Austria,AUT,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.322029433272
Azerbaijan,AZE,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.7202156130561
Azerbaijan,AZE,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,98.75160421,..,..,..,..,..,..,100
"Bahamas, The",BHS,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.6003665393155
Bahrain,BHR,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.4114063623281
Bangladesh,BGD,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,82.92731348,..,..,..,86.64256795,..,..,89.2905839068348
Barbados,BRB,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,98.92396457,..,..,..,..,..,..,..
Belgium,BEL,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.7395098216893
Belgium,BEL,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.1133962,..,..,97.0479987425721
Belize,BLZ,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.0239635497793
Benin,BEN,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,45.87669061,..,..,..,46.95548173,..,..,68.9090640648242
Bhutan,BTN,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
