indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,ABW,2000,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2000,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2001,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2001,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2002,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2002,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2003,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2003,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2004,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2004,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2005,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2005,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2006,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2006,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2007,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2007,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2008,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2009,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2010,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2011,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2012,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2012,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2015,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2015,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ABW,2016,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ABW,2016,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AFG,2020,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AFG,2020,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AGO,2002,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AGO,2002,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AGO,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AIA,2007,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AIA,2007,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ALB,2000,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ALB,2000,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ALB,2001,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ALB,2001,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ALB,2003,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ALB,2003,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ALB,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ALB,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
