"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","COMMENT_OBS","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","TRS_T","_Z","_Z","_Z","D","_Z","_Z","_Z","2024","6.3","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Time spent in transshipment","Not applicable","Not applicable","Not applicable","Days","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_END","_Z","_Z","_Z","D","WB_LPI_M","_Z","_Z","2023","1.8","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Import supply chain termination","Not applicable","Not applicable","Not applicable","Days","Metric: Mean","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_END","_Z","_Z","_Z","D","WB_LPI_M","_Z","_Z","2024","1.7","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Import supply chain termination","Not applicable","Not applicable","Not applicable","Days","Metric: Mean","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_END","_Z","_Z","_Z","D","WB_LPI_MD","_Z","_Z","2023","0.9","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Import supply chain termination","Not applicable","Not applicable","Not applicable","Days","Metric: Median","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_END","_Z","_Z","_Z","D","WB_LPI_MD","_Z","_Z","2024","0.7","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Import supply chain termination","Not applicable","Not applicable","Not applicable","Days","Metric: Median","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_START","_Z","_Z","_Z","D","WB_LPI_M","_Z","_Z","2023","2.0","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Export supply chain initiation","Not applicable","Not applicable","Not applicable","Days","Metric: Mean","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_START","_Z","_Z","_Z","D","WB_LPI_M","_Z","_Z","2024","1.3","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 10000+","0","A","PU","Annual","Estonia","Export supply chain initiation","Not applicable","Not applicable","Not applicable","Days","Metric: Mean","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_START","_Z","_Z","_Z","D","WB_LPI_MD","_Z","_Z","2023","0.9","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 1000-10000","0","A","PU","Annual","Estonia","Export supply chain initiation","Not applicable","Not applicable","Not applicable","Days","Metric: Median","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EST","SC_START","_Z","_Z","_Z","D","WB_LPI_MD","_Z","_Z","2024","0.8","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 10000+","0","A","PU","Annual","Estonia","Export supply chain initiation","Not applicable","Not applicable","Not applicable","Days","Metric: Median","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","EGY","CT_DT_X","_Z","_Z","_Z","D","WB_LPI_IQR_75_25","_Z","_Z","2023","5.3","_Z","NUMBER","2","WB_LPI_20","Number of observation group: 10000+","0","A","PU","Annual","Egypt, Arab Rep.","Container export dwell time","Not applicable","Not applicable","Not applicable","Days","Metric: Interquartile range (P75-P25)","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","Logistics Performance Indicators (LPI) 2.0","Units","Normal value","Public"
