entity;P1_regulation;P2_services;P3_efficiency
Max Score;100;100;100
Angola;66.47;67;88.9
Armenia;100;90.08;97.78
Azerbaijan;74.21;87.22;96.66
Bahrain;64.88;85.17;45.99
Bangladesh;69.25;57.17;63.36
Barbados;79.4;49.39;73.45
Belgium;81.07;77.5;91.24
Benin;72.02;84.72;96.77
Bhutan;63.06;56.92;72.84
Bosnia and Herzegovina;63.97;42.22;50
Botswana;85.91;87.5;71.44
Bulgaria;78.69;82.33;80.24
Burkina Faso;60.36;40;81.95
Cabo Verde;69.31;3;81.61
Cambodia;76.98;51.17;38.73
Cameroon;50.04;20.33;58.66
Canada;72.38;76.33;89.63
Central African Republic;61.63;23.67;34.64
Chad;54.64;26.33;43.66
Colombia;84.72;83.44;88.05
Congo, Dem. Rep.;62.86;46.33;65.37
Congo, Rep.;38.77;20.11;38.9
Costa Rica;76.67;55.67;59.42
Côte d'Ivoire;86.03;41.22;81.83
Croatia;81.71;93.33;87.66
Cyprus;86.67;73.33;86.86
Czechia;88.69;85.94;87.3
Ecuador;85.67;72.17;64.12
El Salvador;52.06;41.33;44.21
Equatorial Guinea;59.25;8;29.21
Estonia;79.8;94.44;94.1
Eswatini;96.25;54.67;90.61
Gambia, The;81.11;21.67;43.17
Georgia;80;87.61;99.84
Ghana;84.72;63.83;59.06
Greece;93.65;90.56;97.12
Hong Kong SAR, China;73.65;83.67;92.74
Hungary;73.1;73.94;83.04
Iceland;78.17;94.44;73.03
Indonesia;66.51;67.83;63.12
Ireland;91.11;89.5;83.78
Israel;80.56;79.83;93.83
Italy;82.26;90.83;80.61
Jamaica;95;58.33;89.45
Jordan;78.97;69.83;55.66
Kazakhstan;79.21;79.33;96.88
Korea, Rep.;70.2;74.33;98.29
Kyrgyz Republic;66.39;76;96.58
Lao PDR;66.47;33.89;53.7
Latvia;85.75;88.83;89.71
Lesotho;88.1;58.33;79.25
Madagascar;80.95;23.33;56.16
Malaysia;79.76;84.5;93.02
Mali;59.88;19;45.58
Malta;92.26;75.5;87.88
Mauritius;80.36;71.72;94.89
Mexico;69.52;39.5;66.38
Moldova;90.32;72.97;95.77
Montenegro;92.22;79.33;78.9
Morocco;87.54;60;74.3
Namibia;78.02;31.94;50.11
Nepal;85;40.19;50.42
New Zealand;69.4;81.67;97.44
North Macedonia;87.3;84.33;93.32
Pakistan;91.67;73.5;94.76
Papua New Guinea;71.35;45.33;38.34
Paraguay;80.04;52;44.05
Peru;75.52;67.67;62.81
Philippines;72.82;54.25;23.69
Poland;75.4;78.83;87.13
Portugal;87.3;90.33;69.67
Romania;88.93;93.89;76.1
Rwanda;96.11;64;100
Samoa;89.17;46.67;72.58
Senegal;70.32;40.22;65.13
Serbia;92.82;90.44;97.44
Seychelles;69.21;50.28;100
Sierra Leone;70.6;13;75.35
Singapore;94.44;87.83;100
Slovak Republic;85.12;90.33;86.12
Slovenia;72.46;91.94;74.83
South Sudan;55;24.44;42.51
Spain;70.91;81.5;77.97
Sweden;77.46;86.17;71.83
Taiwan, China;56.43;67.33;65.58
Tajikistan;89.44;33.28;90.99
Tanzania;83.37;77.17;54.2
Timor-Leste;83.73;29.33;76.1
Togo;80.12;82.06;95.13
Tonga;69.21;52.83;58.46
Trinidad and Tobago;89.17;75;52.34
Tunisia;84.76;83.94;92.32
Türkiye;73.93;79.83;87.43
Turkmenistan;71.39;15.67;42.9
United Kingdom;91.11;82.83;100
United States;90.95;58.06;76.34
Uruguay;80.83;43.33;30.02
Uzbekistan;93.1;83.5;95.59
Vanuatu;82.82;64.33;55.78
Viet Nam;68.61;73.33;87.92
West Bank and Gaza;79.44;39.5;94.04
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
