"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BDI","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","1993","158262.896","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Burundi","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2000","342806.822","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2001","346908.751","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2002","319914.224","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2003","320791.677","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2004","435221.648","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2005","556397.355","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2007","1353710.449","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2008","1627127.555","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2009","1386576.405","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BDI","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","1994","171596.704","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Burundi","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MRT","WB_WITS_XPRT_TRD_VL","_Z","_Z","_Z","USD","_Z","_Z","_Z","2010","1818730.529","_Z","CUR","2","WB_WITS","602","3","A","PU","Annual","Mauritania","Exports - Trade Value (US$ Thousand)","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Currency","Two","World Integrated Trade Solution (WITS)","CCYY","Thousands","Normal value","Public"
