"","Indicator","Value","entity"
"1","P1_institutions",NA,"Albania"
"2","Sub1_Security",NA,"Albania"
"3","I101_organized_crime",3.8,"Albania"
"4","I102_homicide",2.3,"Albania"
"5","I103_terrorism",99.9,"Albania"
"6","I104_police",4.4,"Albania"
"7","Sub2_Social_Capital",NA,"Albania"
"8","Sub2_Social_Capital",44.1,"Albania"
"9","Sub3_Checks_Balances",NA,"Albania"
"10","I106_transparency",50,"Albania"
"11","I107_judicial_independence",2.1,"Albania"
"12","I108_challenging_regulations",2.3,"Albania"
"13","I09_press_freedom",29.8,"Albania"
"14","Sub4_Public_Sector",NA,"Albania"
"15","I110_gov_burden",4.4,"Albania"
"16","I111_settling_disputes",2.5,"Albania"
"17","I112_e_participation",0.76,"Albania"
"18","Sub5_Transparency",NA,"Albania"
"19","I113_corruption",36,"Albania"
"20","I114_property_rights",NA,"Albania"
"21","I114_property_rights",3.3,"Albania"
"22","I115_intellectual_property_protection",3.1,"Albania"
"23","I116_land_administration",15.5,"Albania"
"24","Sub6_Corporate_Governance",NA,"Albania"
"25","I117_auditing_accounting_standards",4.5,"Albania"
"26","I118_interest_conflict_regulation",7.7,"Albania"
"27","I119_shareholder_governance",6.7,"Albania"
"28","Sub7_Government_Orientation",NA,"Albania"
"29","I120_policy_stability",3.3,"Albania"
"30","I121_response_to_change",3.6,"Albania"
"31","I122_digital_business_laws",3.7,"Albania"
"32","I123_gov_long_term_vision",3.7,"Albania"
"33","I124_energy_regulations",NA,"Albania"
"34","I125_renewable_energy",NA,"Albania"
"35","I126_environment_treaties",24,"Albania"
"36","P2_infrastructure",NA,"Albania"
"37","Sub8_Transport_Infrastructure",NA,"Albania"
"38","I201_road_connectivity",55.5,"Albania"
"39","I202_quality_of_roads",3.9,"Albania"
"40","I203_railroad_density",15.4,"Albania"
"41","I204_train_efficiency",1.2,"Albania"
"42","I205_airport_connectivity",8289.1,"Albania"
"43","I206_air_transport_efficiency",4.1,"Albania"
"44","I207_shipping_connectivity",3,"Albania"
"45","I208_seaport_efficiency",4.3,"Albania"
"46","Sub9_Utility_Infrastructure",NA,"Albania"
"47","I209_electricity_access",100,"Albania"
"48","I210_electricity_supply",18.3,"Albania"
"49","I211_unsafe_drinking_water",18.3,"Albania"
"50","I212_water_supply",4.1,"Albania"
"51","P3_ICT_adoption",NA,"Albania"
"52","I301_cellular_subscription",94.2,"Albania"
"53","I302_mobile_broadband",62.8,"Albania"
"54","I303_fixed_broadband",12.5,"Albania"
"55","I304_fibre_internet",1.7,"Albania"
"56","I305_internet_users",71.8,"Albania"
"57","P4_macro_stability",NA,"Albania"
"58","I401_inflation",2,"Albania"
"59","I402_debt_dynamic",40,"Albania"
"60","P5_health",NA,"Albania"
"61","I501_healthy_life_expectancy",67.5,"Albania"
"62","P6_skills",NA,"Albania"
"63","Sub10_Workforce",NA,"Albania"
"64","I601_years_of_schooling",10.2,"Albania"
"65","Sub11_Workforce_Skills",NA,"Albania"
"66","I602_staff_training",4.6,"Albania"
"67","I603_vocational_training",4.3,"Albania"
"68","I604_graduates_skillset",4.3,"Albania"
"69","I605_digital_skills",4,"Albania"
"70","I606_skilled_employees",3.9,"Albania"
"71","Sub12_Future_Workforce",NA,"Albania"
"72","I501_healthy_life_expectancy",15.2,"Albania"
"73","Sub13_Future_Workforce_Skills",NA,"Albania"
"74","I608_critical_thinking",4.6,"Albania"
"75","I609_pupil_teacher_ratio",17.9,"Albania"
"76","P7_product_market",NA,"Albania"
"77","Sub14_Domestic_Competition",NA,"Albania"
"78","I701_distortive_taxes",3.2,"Albania"
"79","I702_market_dominance",2.9,"Albania"
"80","I703_competition_services",4.6,"Albania"
"81","Sub15_Trade_Openess",NA,"Albania"
"82","I704_non_tariff_barriers",5.1,"Albania"
"83","I705_trade_tariffs",2.21,"Albania"
"84","I706_tariffs_complexity",5.6,"Albania"
"85","I707_border_clearance",2.3,"Albania"
"86","P8_labour_market",NA,"Albania"
"87","Sub16_Flexibility",NA,"Albania"
"88","I801_redundancy_costs",20.8,"Albania"
"89","I802_hiring_firing_practices",3.9,"Albania"
"90","I803_labour_employer_relations",5,"Albania"
"91","I804_wage_flexibility",4.3,"Albania"
"92","I805_labour_market_policies",2.9,"Albania"
"93","I806_workers_rights",79,"Albania"
"94","I807_foreign_labour_hiring",5.8,"Albania"
"95","I808_internal_labour_mobility",5,"Albania"
"96","Sub17_Meritocracy",NA,"Albania"
"97","I809_reliance_on_management",4.4,"Albania"
"98","I810_pay_productivity",4.5,"Albania"
"99","I811_gender_pay_gap",0.8,"Albania"
"100","I812_labour_tax",18.8,"Albania"
"101","P9_financial_system",NA,"Albania"
"102","Sub18_Depth",NA,"Albania"
"103","I901_credit_to_private_sector",36.2,"Albania"
"104","I902_financing_SME",3.9,"Albania"
"105","I903_venture_capital",3,"Albania"
"106","I904_market_capitalization",0,"Albania"
"107","I905_insurance_premium",0.9,"Albania"
"108","Sub19_Stability",NA,"Albania"
"109","I906_banks_soundness",5.4,"Albania"
"110","I907_non_performing_loans",13.2,"Albania"
"111","I908_credit_gap",-9.6,"Albania"
"112","I909_regulatory_capital",16.1,"Albania"
"113","P10_market_size",NA,"Albania"
"114","I1001_GDP_PPP",34,"Albania"
"115","I1002_imports",53.5,"Albania"
"116","P11_dynamism",NA,"Albania"
"117","Sub20_Administrative_Requirements",NA,"Albania"
"118","I1101_starting_business_cost",11.3,"Albania"
"119","I1102_starting_business_time",5,"Albania"
"120","I1103_insolvency_recovery_rate",44,"Albania"
"121","I1104_insolvency_regulations",14,"Albania"
"122","Sub21_Entrepreneurial_Culture",NA,"Albania"
"123","I1105_risk_attitudes",3.3,"Albania"
"124","I1106_delegating_authority",4.2,"Albania"
"125","I1107_innovating_companies",3.8,"Albania"
"126","I1108_disruptive_ideas",2.9,"Albania"
"127","P12_innovation",NA,"Albania"
"128","Sub22_Diversity",NA,"Albania"
"129","I1201_workforce_diversity",4,"Albania"
"130","I1202_cluster_development",2.8,"Albania"
"131","I1203_international_inventions",0.1,"Albania"
"132","I1204_stakeholder_collaboration",3.8,"Albania"
"133","Sub23_Research_Development",NA,"Albania"
"134","I1205_scientific_publications",57.3,"Albania"
"135","I1206_patents",0.22,"Albania"
"136","I1207_RnD_expenditures",0.2,"Albania"
"137","I1208_research_institutions",0,"Albania"
"138","Sub24_Commercialization",NA,"Albania"
"139","I1209_buyer_sophistication",3.1,"Albania"
"140","I1210_trademarks",379.36,"Albania"
"141","P1_institutions",NA,"Algeria"
"142","Sub1_Security",NA,"Algeria"
"143","I101_organized_crime",4.8,"Algeria"
"144","I102_homicide",1.4,"Algeria"
"145","I103_terrorism",98.2,"Algeria"
"146","I104_police",4.8,"Algeria"
"147","Sub2_Social_Capital",NA,"Algeria"
"148","Sub2_Social_Capital",45,"Algeria"
"149","Sub3_Checks_Balances",NA,"Algeria"
"150","I106_transparency",3,"Algeria"
"151","I107_judicial_independence",3.7,"Algeria"
"152","I108_challenging_regulations",3.4,"Algeria"
"153","I09_press_freedom",45.8,"Algeria"
"154","Sub4_Public_Sector",NA,"Algeria"
"155","I110_gov_burden",3.5,"Algeria"
"156","I111_settling_disputes",4.1,"Algeria"
"157","I112_e_participation",0.2,"Algeria"
"158","Sub5_Transparency",NA,"Algeria"
"159","I113_corruption",35,"Algeria"
"160","I114_property_rights",NA,"Algeria"
"161","I114_property_rights",4.1,"Algeria"
"162","I115_intellectual_property_protection",4,"Algeria"
"163","I116_land_administration",7.5,"Algeria"
"164","Sub6_Corporate_Governance",NA,"Algeria"
"165","I117_auditing_accounting_standards",3.8,"Algeria"
"166","I118_interest_conflict_regulation",3.3,"Algeria"
"167","I119_shareholder_governance",3.7,"Algeria"
"168","Sub7_Government_Orientation",NA,"Algeria"
"169","I120_policy_stability",3.6,"Algeria"
"170","I121_response_to_change",3.9,"Algeria"
"171","I122_digital_business_laws",3,"Algeria"
"172","I123_gov_long_term_vision",3.7,"Algeria"
"173","I124_energy_regulations",55.4,"Algeria"
"174","I125_renewable_energy",45.3,"Algeria"
"175","I126_environment_treaties",19,"Algeria"
"176","P2_infrastructure",NA,"Algeria"
"177","Sub8_Transport_Infrastructure",NA,"Algeria"
"178","I201_road_connectivity",87.2,"Algeria"
"179","I202_quality_of_roads",4,"Algeria"
"180","I203_railroad_density",1.7,"Algeria"
"181","I204_train_efficiency",3.8,"Algeria"
"182","I205_airport_connectivity",46594.5,"Algeria"
"183","I206_air_transport_efficiency",4,"Algeria"
"184","I207_shipping_connectivity",10.4,"Algeria"
"185","I208_seaport_efficiency",3.9,"Algeria"
"186","Sub9_Utility_Infrastructure",NA,"Algeria"
"187","I209_electricity_access",99.1,"Algeria"
"188","I210_electricity_supply",15.1,"Algeria"
"189","I211_unsafe_drinking_water",12.3,"Algeria"
"190","I212_water_supply",4.6,"Algeria"
"191","P3_ICT_adoption",NA,"Algeria"
"192","I301_cellular_subscription",121.9,"Algeria"
"193","I302_mobile_broadband",96.7,"Algeria"
"194","I303_fixed_broadband",7.3,"Algeria"
"195","I304_fibre_internet",0,"Algeria"
"196","I305_internet_users",59.6,"Algeria"
"197","P4_macro_stability",NA,"Algeria"
"198","I401_inflation",4.9,"Algeria"
"199","I402_debt_dynamic",45,"Algeria"
"200","P5_health",NA,"Algeria"
"201","I501_healthy_life_expectancy",66.5,"Algeria"
"202","P6_skills",NA,"Algeria"
"203","Sub10_Workforce",NA,"Algeria"
"204","I601_years_of_schooling",8.7,"Algeria"
"205","Sub11_Workforce_Skills",NA,"Algeria"
"206","I602_staff_training",3.8,"Algeria"
"207","I603_vocational_training",3.8,"Algeria"
"208","I604_graduates_skillset",3.7,"Algeria"
"209","I605_digital_skills",4,"Algeria"
"210","I606_skilled_employees",4.1,"Algeria"
"211","Sub12_Future_Workforce",NA,"Algeria"
"212","I501_healthy_life_expectancy",14.3,"Algeria"
"213","Sub13_Future_Workforce_Skills",NA,"Algeria"
"214","I608_critical_thinking",3.2,"Algeria"
"215","I609_pupil_teacher_ratio",24.2,"Algeria"
"216","P7_product_market",NA,"Algeria"
"217","Sub14_Domestic_Competition",NA,"Algeria"
"218","I701_distortive_taxes",3.5,"Algeria"
"219","I702_market_dominance",4.1,"Algeria"
"220","I703_competition_services",4.3,"Algeria"
"221","Sub15_Trade_Openess",NA,"Algeria"
"222","I704_non_tariff_barriers",3.7,"Algeria"
"223","I705_trade_tariffs",15.12,"Algeria"
"224","I706_tariffs_complexity",6.5,"Algeria"
"225","I707_border_clearance",2.1,"Algeria"
"226","P8_labour_market",NA,"Algeria"
"227","Sub16_Flexibility",NA,"Algeria"
"228","I801_redundancy_costs",17.3,"Algeria"
"229","I802_hiring_firing_practices",4,"Algeria"
"230","I803_labour_employer_relations",4.3,"Algeria"
"231","I804_wage_flexibility",4.9,"Algeria"
"232","I805_labour_market_policies",3.3,"Algeria"
"233","I806_workers_rights",57,"Algeria"
"234","I807_foreign_labour_hiring",3.4,"Algeria"
"235","I808_internal_labour_mobility",4.6,"Algeria"
"236","Sub17_Meritocracy",NA,"Algeria"
"237","I809_reliance_on_management",3.5,"Algeria"
"238","I810_pay_productivity",3.8,"Algeria"
"239","I811_gender_pay_gap",0.21,"Algeria"
"240","I812_labour_tax",31.1,"Algeria"
"241","P9_financial_system",NA,"Algeria"
"242","Sub18_Depth",NA,"Algeria"
"243","I901_credit_to_private_sector",23.1,"Algeria"
"244","I902_financing_SME",3.8,"Algeria"
"245","I903_venture_capital",3.5,"Algeria"
"246","I904_market_capitalization",0.2,"Algeria"
"247","I905_insurance_premium",0.7,"Algeria"
"248","Sub19_Stability",NA,"Algeria"
"249","I906_banks_soundness",4,"Algeria"
"250","I907_non_performing_loans",12.3,"Algeria"
"251","I908_credit_gap",2.6,"Algeria"
"252","I909_regulatory_capital",19,"Algeria"
"253","P10_market_size",NA,"Algeria"
"254","I1001_GDP_PPP",584,"Algeria"
"255","I1002_imports",31.8,"Algeria"
"256","P11_dynamism",NA,"Algeria"
"257","Sub20_Administrative_Requirements",NA,"Algeria"
"258","I1101_starting_business_cost",11.8,"Algeria"
"259","I1102_starting_business_time",17.5,"Algeria"
"260","I1103_insolvency_recovery_rate",50.8,"Algeria"
"261","I1104_insolvency_regulations",7,"Algeria"
"262","Sub21_Entrepreneurial_Culture",NA,"Algeria"
"263","I1105_risk_attitudes",3.6,"Algeria"
"264","I1106_delegating_authority",3.6,"Algeria"
"265","I1107_innovating_companies",3.8,"Algeria"
"266","I1108_disruptive_ideas",3.4,"Algeria"
"267","P12_innovation",NA,"Algeria"
"268","Sub22_Diversity",NA,"Algeria"
"269","I1201_workforce_diversity",4.2,"Algeria"
"270","I1202_cluster_development",3.9,"Algeria"
"271","I1203_international_inventions",0.02,"Algeria"
"272","I1204_stakeholder_collaboration",3.6,"Algeria"
"273","Sub23_Research_Development",NA,"Algeria"
"274","I1205_scientific_publications",139.7,"Algeria"
"275","I1206_patents",0.03,"Algeria"
"276","I1207_RnD_expenditures",0.5,"Algeria"
"277","I1208_research_institutions",0.04,"Algeria"
"278","Sub24_Commercialization",NA,"Algeria"
"279","I1209_buyer_sophistication",3.8,"Algeria"
"280","I1210_trademarks",113.23,"Algeria"
"281","P1_institutions",NA,"Angola"
"282","Sub1_Security",NA,"Angola"
"283","I101_organized_crime",4.1,"Angola"
"284","I102_homicide",4.8,"Angola"
"285","I103_terrorism",95.3,"Angola"
"286","I104_police",3.3,"Angola"
"287","Sub2_Social_Capital",NA,"Angola"
"288","Sub2_Social_Capital",41.2,"Angola"
"289","Sub3_Checks_Balances",NA,"Angola"
"290","I106_transparency",25,"Angola"
"291","I107_judicial_independence",2.3,"Angola"
"292","I108_challenging_regulations",2.2,"Angola"
"293","I09_press_freedom",35,"Angola"
"294","Sub4_Public_Sector",NA,"Angola"
"295","I110_gov_burden",2.8,"Angola"
"296","I111_settling_disputes",2.6,"Angola"
"297","I112_e_participation",0.43,"Angola"
"298","Sub5_Transparency",NA,"Angola"
"299","I113_corruption",19,"Angola"
"300","I114_property_rights",NA,"Angola"
"301","I114_property_rights",3.2,"Angola"
"302","I115_intellectual_property_protection",2.7,"Angola"
"303","I116_land_administration",7,"Angola"
"304","Sub6_Corporate_Governance",NA,"Angola"
"305","I117_auditing_accounting_standards",2.5,"Angola"
"306","I118_interest_conflict_regulation",5.3,"Angola"
"307","I119_shareholder_governance",5.7,"Angola"
"308","Sub7_Government_Orientation",NA,"Angola"
"309","I120_policy_stability",3.4,"Angola"
"310","I121_response_to_change",2.9,"Angola"
"311","I122_digital_business_laws",1.9,"Angola"
"312","I123_gov_long_term_vision",3.1,"Angola"
"313","I124_energy_regulations",10.6,"Angola"
"314","I125_renewable_energy",30,"Angola"
"315","I126_environment_treaties",18,"Angola"
"316","P2_infrastructure",NA,"Angola"
"317","Sub8_Transport_Infrastructure",NA,"Angola"
"318","I201_road_connectivity",77.7,"Angola"
"319","I202_quality_of_roads",2.2,"Angola"
"320","I203_railroad_density",NA,"Angola"
"321","I204_train_efficiency",NA,"Angola"
"322","I205_airport_connectivity",5973.8,"Angola"
"323","I206_air_transport_efficiency",3.3,"Angola"
"324","I207_shipping_connectivity",25.1,"Angola"
"325","I208_seaport_efficiency",2.8,"Angola"
"326","Sub9_Utility_Infrastructure",NA,"Angola"
"327","I209_electricity_access",43,"Angola"
"328","I210_electricity_supply",11.3,"Angola"
"329","I211_unsafe_drinking_water",77.1,"Angola"
"330","I212_water_supply",2.1,"Angola"
"331","P3_ICT_adoption",NA,"Angola"
"332","I301_cellular_subscription",43.1,"Angola"
"333","I302_mobile_broadband",18.9,"Angola"
"334","I303_fixed_broadband",0.4,"Angola"
"335","I304_fibre_internet",0.2,"Angola"
"336","I305_internet_users",14.3,"Angola"
"337","P4_macro_stability",NA,"Angola"
"338","I401_inflation",24.7,"Angola"
"339","I402_debt_dynamic",38.8,"Angola"
"340","P5_health",NA,"Angola"
"341","I501_healthy_life_expectancy",55,"Angola"
"342","P6_skills",NA,"Angola"
"343","Sub10_Workforce",NA,"Angola"
"344","I601_years_of_schooling",4,"Angola"
"345","Sub11_Workforce_Skills",NA,"Angola"
"346","I602_staff_training",3,"Angola"
"347","I603_vocational_training",2.5,"Angola"
"348","I604_graduates_skillset",2.5,"Angola"
"349","I605_digital_skills",2.4,"Angola"
"350","I606_skilled_employees",2.8,"Angola"
"351","Sub12_Future_Workforce",NA,"Angola"
"352","I501_healthy_life_expectancy",9.5,"Angola"
"353","Sub13_Future_Workforce_Skills",NA,"Angola"
