Reporter Name;Partner Name;Year;Trade Flow;No Of exported HS6 digit Products;Export Share in Total Products (%);Export (US$ Thousand);Export Partner Share (%)
Russian Federation;Aruba;2021;Export;13;0,3;172,62;0
Russian Federation;Afghanistan;2021;Export;180;4,13;81933,82;0,02
Russian Federation;Angola;2021;Export;261;5,99;87654,09;0,02
Russian Federation;Albania;2021;Export;149;3,42;132543,11;0,03
Russian Federation;Andorra;2021;Export;10;0,23;13478,45;0
Russian Federation;United Arab Emirates;2021;Export;1347;30,9;5081598,96;1,03
Russian Federation;Argentina;2021;Export;226;5,18;370011,4;0,08
Russian Federation;Armenia;2021;Export;3017;69,21;1892694,6;0,38
Russian Federation;American Samoa;2021;Export;;;;
Russian Federation;Antarctica;2021;Export;1;0,02;498,61;0
Russian Federation;Fr. So. Ant. Tr;2021;Export;2;0,05;0,77;0
Russian Federation;Antigua and Barbuda;2021;Export;5;0,11;29,3;0
Russian Federation;Australia;2021;Export;629;14,43;236370,35;0,05
Russian Federation;Austria;2021;Export;753;17,27;3228871,43;0,66
Russian Federation;Azerbaijan;2021;Export;2300;52,76;2323836,4;0,47
Russian Federation;Burundi;2021;Export;6;0,14;8992,68;0
Russian Federation;Belgium;2021;Export;878;20,14;8671672,43;1,76
Russian Federation;Benin;2021;Export;39;0,89;37591,9;0,01
Russian Federation;Burkina Faso;2021;Export;33;0,76;37272,14;0,01
Russian Federation;Bangladesh;2021;Export;801;18,38;1721243,89;0,35
Russian Federation;Bulgaria;2021;Export;1313;30,12;2669627,01;0,54
Russian Federation;Bahrain;2021;Export;135;3,1;13839,84;0
Russian Federation;Bahamas, The;2021;Export;167;3,83;394206,98;0,08
Russian Federation;Bosnia and Herzegovina;2021;Export;350;8,03;108381,49;0,02
Russian Federation;Belarus;2021;Export;4059;93,12;23130382,72;4,7
Russian Federation;Belize;2021;Export;3;0,07;83,91;0
Russian Federation;Bermuda;2021;Export;8;0,18;81,4;0
Russian Federation;Bolivia;2021;Export;231;5,3;47208,56;0,01
Russian Federation;Brazil;2021;Export;490;11,24;5261219,63;1,07
Russian Federation;Barbados;2021;Export;7;0,16;38262,62;0,01
Russian Federation;Brunei;2021;Export;17;0,39;2513,2;0
Russian Federation;Bhutan;2021;Export;;;;
Russian Federation;Bouvet Island;2021;Export;;;;
Russian Federation;Botswana;2021;Export;12;0,28;48935,82;0,01
Russian Federation;Central African Republic;2021;Export;345;7,91;5827,56;0
Russian Federation;Canada;2021;Export;976;22,39;737710,16;0,15
Russian Federation;Cocos (Keeling) Islands;2021;Export;;;;
Russian Federation;Switzerland;2021;Export;881;20,21;2821567,83;0,57
Russian Federation;Chile;2021;Export;362;8,3;99891,43;0,02
Russian Federation;China;2021;Export;1617;37,1;68679248,08;13,95
Russian Federation;Cote d'Ivoire;2021;Export;119;2,73;129386,93;0,03
Russian Federation;Cameroon;2021;Export;112;2,57;309651,5;0,06
Russian Federation;Congo, Rep.;2021;Export;231;5,3;122440,08;0,02
Russian Federation;Cook Islands;2021;Export;;;;
Russian Federation;Colombia;2021;Export;408;9,36;336601,92;0,07
Russian Federation;Comoros;2021;Export;1;0,02;31,59;0
Russian Federation;Cape Verde;2021;Export;38;0,87;19,17;0
Russian Federation;Costa Rica;2021;Export;64;1,47;52239,91;0,01
Russian Federation;Cuba;2021;Export;1;0,02;130799,83;0,03
Russian Federation;Curaçao;2021;Export;5;0,11;423,22;0
Russian Federation;Christmas Island;2021;Export;;;;
Russian Federation;Cayman Islands;2021;Export;5;0,11;17666,97;0
Russian Federation;Cyprus;2021;Export;538;12,34;230658,14;0,05
Russian Federation;Czech Republic;2021;Export;1493;34,25;4016632,33;0,82
Russian Federation;Germany;2021;Export;2189;50,22;29645649,04;6,02
Russian Federation;Djibouti;2021;Export;42;0,96;49570,48;0,01
Russian Federation;Dominica;2021;Export;7;0,16;192,87;0
Russian Federation;Denmark;2021;Export;469;10,76;2984394,15;0,61
Russian Federation;Dominican Republic;2021;Export;145;3,33;93707,84;0,02
Russian Federation;Algeria;2021;Export;600;13,76;2989446,56;0,61
Russian Federation;East Asia & Pacific;2021;Export;2874;65,93;107416373,7;21,82
Russian Federation;Europe & Central Asia;2021;Export;4339;99,54;306774013,8;62,31
Russian Federation;Ecuador;2021;Export;284;6,52;460373,29;0,09
Russian Federation;Egypt, Arab Rep.;2021;Export;827;18,97;4177311,53;0,85
Russian Federation;Eritrea;2021;Export;3;0,07;9188,92;0
Russian Federation;Western Sahara;2021;Export;8;0,18;198,2;0
Russian Federation;Spain;2021;Export;1025;23,51;3844114,46;0,78
Russian Federation;Estonia;2021;Export;1968;45,15;4131259,93;0,84
Russian Federation;Ethiopia(excludes Eritrea);2021;Export;88;2,02;194694,46;0,04
Russian Federation;Finland;2021;Export;1011;23,19;9655805,69;1,96
Russian Federation;Fiji;2021;Export;;;;
Russian Federation;Falkland Island;2021;Export;;;;
Russian Federation;France;2021;Export;1322;30,33;9910301,87;2,01
Russian Federation;Faeroe Islands;2021;Export;61;1,4;53800,09;0,01
Russian Federation;Micronesia, Fed. Sts.;2021;Export;;;;
Russian Federation;Gabon;2021;Export;72;1,65;13163,54;0
Russian Federation;United Kingdom;2021;Export;1360;31,2;22274619,79;4,52
Russian Federation;Georgia;2021;Export;1994;45,74;873295,99;0,18
Russian Federation;Ghana;2021;Export;168;3,85;166391,35;0,03
Russian Federation;Gibraltar;2021;Export;1;0,02;196158,35;0,04
Russian Federation;Guinea;2021;Export;545;12,5;54392,11;0,01
Russian Federation;Gambia, The;2021;Export;11;0,25;475,13;0
Russian Federation;Guinea-Bissau;2021;Export;3;0,07;141,06;0
Russian Federation;Equatorial Guinea;2021;Export;11;0,25;1577,33;0
Russian Federation;Greece;2021;Export;520;11,93;4194873,23;0,85
Russian Federation;Grenada;2021;Export;;;;
Russian Federation;Greenland;2021;Export;1;0,02;146,94;0
Russian Federation;Guatemala;2021;Export;117;2,68;182921,31;0,04
Russian Federation;Guam;2021;Export;5;0,11;21,54;0
Russian Federation;Guyana;2021;Export;32;0,73;2583,71;0
Russian Federation;Hong Kong, China;2021;Export;757;17,37;1615975,88;0,33
Russian Federation;Honduras;2021;Export;83;1,9;143102,39;0,03
Russian Federation;Croatia;2021;Export;421;9,66;866756,9;0,18
Russian Federation;Haiti;2021;Export;70;1,61;22266,67;0
Russian Federation;Hungary;2021;Export;826;18,95;3719448,65;0,76
Russian Federation;Indonesia;2021;Export;528;12,11;680976,07;0,14
Russian Federation;India;2021;Export;1362;31,25;9128108,42;1,85
Russian Federation;British Indian Ocean Ter.;2021;Export;2;0,05;8,5;0
Russian Federation;Ireland;2021;Export;228;5,23;464580,24;0,09
Russian Federation;Iran, Islamic Rep.;2021;Export;1;0,02;3068188,16;0,62
Russian Federation;Iraq;2021;Export;441;10,12;282680,96;0,06
Russian Federation;Iceland;2021;Export;113;2,59;21630,76;0
Russian Federation;Israel;2021;Export;1033;23,7;1736219,84;0,35
Russian Federation;Italy;2021;Export;1441;33,06;19284242,45;3,92
Russian Federation;Jamaica;2021;Export;10;0,23;698,05;0
Russian Federation;Jordan;2021;Export;332;7,62;247926,88;0,05
Russian Federation;Japan;2021;Export;925;21,22;10726012,15;2,18
Russian Federation;Kazakhstan;2021;Export;4033;92,52;18493813,46;3,76
Russian Federation;Kenya;2021;Export;169;3,88;221111,6;0,04
Russian Federation;Kyrgyz Republic;2021;Export;2899;66,51;2156018,57;0,44
Russian Federation;Cambodia;2021;Export;102;2,34;37301,86;0,01
Russian Federation;Kiribati;2021;Export;1;0,02;326,5;0
Russian Federation;St. Kitts and Nevis;2021;Export;83;1,9;2,47;0
Russian Federation;Korea, Rep.;2021;Export;1014;23,26;16894810,11;3,43
Russian Federation;Kuwait;2021;Export;400;9,18;595869,71;0,12
Russian Federation;Lao PDR;2021;Export;155;3,56;9555,12;0
Russian Federation;Lebanon;2021;Export;261;5,99;520080,28;0,11
Russian Federation;Liberia;2021;Export;361;8,28;7078,54;0
Russian Federation;Libya;2021;Export;131;3,01;331968,88;0,07
Russian Federation;St. Lucia;2021;Export;2;0,05;285019,68;0,06
Russian Federation;Latin America & Caribbean;2021;Export;1448;33,22;12267399,41;2,49
Russian Federation;Sri Lanka;2021;Export;178;4,08;89559,58;0,02
Russian Federation;Lesotho;2021;Export;1;0,02;8,37;0
Russian Federation;Lithuania;2021;Export;1856;42,58;4577372,44;0,93
Russian Federation;Luxembourg;2021;Export;163;3,74;21820,3;0
Russian Federation;Latvia;2021;Export;2005;46;4295657,4;0,87
Russian Federation;Macao;2021;Export;8;0,18;36,8;0
Russian Federation;Morocco;2021;Export;286;6,56;1213927,78;0,25
Russian Federation;Moldova;2021;Export;2249;51,59;1755126,7;0,36
Russian Federation;Madagascar;2021;Export;65;1,49;17875,73;0
Russian Federation;Maldives;2021;Export;103;2,36;12519,68;0
Russian Federation;Middle East, North Africa, Afghanistan & Pakistan;2021;Export;2184;50,1;26464493,58;5,38
Russian Federation;Mexico;2021;Export;527;12,09;3402925,93;0,69
Russian Federation;Marshall Islands;2021;Export;133;3,05;440,67;0
Russian Federation;North Macedonia;2021;Export;241;5,53;81198,64;0,02
Russian Federation;Mali;2021;Export;202;4,63;88656,66;0,02
Russian Federation;Malta;2021;Export;168;3,85;2359787,39;0,48
Russian Federation;Myanmar;2021;Export;431;9,89;284332,68;0,06
Russian Federation;Mongolia;2021;Export;1993;45,72;1817467,73;0,37
Russian Federation;Northern Mariana Islands;2021;Export;1;0,02;4,4;0
Russian Federation;Montenegro;2021;Export;248;5,69;6088,77;0
Russian Federation;Mozambique;2021;Export;42;0,96;54780,14;0,01
Russian Federation;Mauritania;2021;Export;32;0,73;15603,13;0
Russian Federation;Montserrat;2021;Export;;;;
Russian Federation;Mauritius;2021;Export;49;1,12;3443,86;0
Russian Federation;Malawi;2021;Export;12;0,28;9544,23;0
Russian Federation;Malaysia;2021;Export;403;9,25;1429731,12;0,29
Russian Federation;North America;2021;Export;1974;45,29;18485552,39;3,75
Russian Federation;New Caledonia;2021;Export;26;0,6;2666,94;0
Russian Federation;Niger;2021;Export;34;0,78;1203,59;0
Russian Federation;Nigeria;2021;Export;199;4,57;883388,55;0,18
Russian Federation;Nicaragua;2021;Export;147;3,37;145357,22;0,03
Russian Federation;Niue;2021;Export;;;;
Russian Federation;Netherlands;2021;Export;1188;27,25;42145025,16;8,56
Russian Federation;Norway;2021;Export;620;14,22;1814792,48;0,37
Russian Federation;Nepal;2021;Export;44;1,01;16737,2;0
Russian Federation;Nauru;2021;Export;;;;
Russian Federation;New Zealand;2021;Export;495;11,36;63319,47;0,01
Russian Federation;Other Asia, nes;2021;Export;;;3517715,02;0,71
Russian Federation;Oman;2021;Export;240;5,51;168175,74;0,03
