Country,Status of Data Protection Law,Legal Framework Details,Data Protection Score (Inferred),Source
Albania,Active Law,"Law No. 124/2024 'On Personal Data Protection' (Official Gazette No. 9, dated 17 January 2025).",6,1
Algeria,Active Law,Law No. 18-07 of 10 June 2018 as amended by Law No. 25-11 of 24 July 2025.,6,1
Angola,Active Law,"Data Protection Law (Law no. 22/11, 17 June 2011).",6,1
Argentina,Active Law,"Personal Data Protection Law (Law 25,326) and Federal Constitution (Article 43).",6,1
Armenia,Active Law,"Personal Data Protection Law as of 18.05.2015, number ՀՕ-49-Ն.",6,1
Aruba,Active Law,"National Ordinance Person Registration (National Gazette 2011, No. 37).",6,1
Australia,Active Law,Privacy Act 1988 (Cth) and Privacy and Other Legislation Amendment Act 2024.,6,1
Austria,Active Law,"EU GDPR and Data Protection Act (Datenschutzgesetz, DSG).",6,1
Azerbaijan,Active Law,Law on Personal Information dated 11 May 2010.,6,1
Bahamas,Active Law,Data Protection (Privacy of Personal Information) Act (DPA).,6,1
Bahrain,Active Law,Law No. 30 of 2018 with respect to Personal Data Protection (PDPL).,6,1
Bangladesh,Active Law,Cyber Security Act 2023 (CA 2023).,6,1
Barbados,Active Law,"Data Protection Act, 2019.",6,1
Belarus,Active Law,Law on Personal Data Protection of 7 May 2021 No. 99-Z.,6,1
Belgium,Active Law,"EU GDPR and Data Protection Act of July 30, 2018.",6,1
Benin,Active Law,Law No. 2017-20 on the digital code and Law No. 2009-09.,6,1
Bermuda,Active Law,Personal Information Protection Act 2016 (PIPA) (effective 1 January 2025).,6,1
Bosnia and Herzegovina,Active Law,Law on the Protection of Personal Data of BiH (Official Gazette no. 12/25).,6,1
Botswana,Active Law,Data Protection Act – Act No. 18 of 2024.,6,1
Brazil,Active Law,"General Data Protection Law (LGPD) (Law 13,709/2018).",6,1
British Virgin Islands,Active Law,"Data Protection Act, 2021.",6,1
Brunei,Active Law,"Personal Data Protection Order, 2025 (PDPO).",6,1
Bulgaria,Active Law,EU GDPR and Personal Data Protection Act 2002 (as amended 2019).,6,1
Burkina Faso,Active Law,Law No. 001-2021 on the protection of persons with regard to processing of personal data.,6,1
Cameroon,Active Law,Law No. 2024/017 on the protection of personal data.,6,1
Canada,Active Law,Personal Information Protection and Electronic Documents Act (PIPEDA) and various provincial acts.,6,1
Cape Verde,Active Law,Data Protection Law (Law 133/V/2001 as amended by Law 121/IX/2021).,6,1
Cayman Islands,Active Law,Data Protection Act (2021 revision).,6,1
Chad,Active Law,Act No. 007/PR/2015 on Personal Data protection.,6,1
Chile,Active Law,Law 19.628 (PDPL) and Law 21.719 (modernization law effective Dec 2026).,6,1
China,Active Law,"Personal Information Protection Law (PIPL), Data Security Law (DSL), and Cybersecurity Law (CSL).",6,1
Colombia,Active Law,Statutory Law 1581 of 2012 and Law 1266 of 2008.,6,1
Costa Rica,Active Law,Law No. 8968 Protection in Handling Personal Data; new bill pending since 2021.,6,1
Côte d'Ivoire,Active Law,Law no. 2013-450 on the protection of personal data.,6,1
Croatia,Active Law,EU GDPR and Act on the Implementation of the GDPR (2018).,6,1
Curaçao,Active Law,"National ordinance personal data protection (National Gazette 2010, No. 84).",6,1
Cyprus,Active Law,EU GDPR and Law 125(I)/2018.,6,1
Czech Republic,Active Law,EU GDPR and Act No. 110/2019 Coll. on Personal Data Processing.,6,1
Democratic Republic of Congo,Active Law,Digital Code Law N°23-010 of 13 March 2023.,6,1
Denmark,Active Law,EU GDPR and Danish Act on Data Protection (2018).,6,1
Dominican Republic,Active Law,Law No. 172-13 on the Protection of Personal Data (DPL).,6,1
Ecuador,Active Law,Personal Data Protection Organic Law (2021).,6,1
Egypt,Active Law,Personal Data Protection Law No.151 of 2020.,6,1
Equatorial Guinea,Active Law,Personal Data Protection Law Num. 1/2016.,6,1
Estonia,Active Law,EU GDPR and Personal Data Protection Act (PDPA) (2019).,6,1
Ethiopia,Active Law,Personal Data Protection Proclamation No.1321/2024.,6,1
Finland,Active Law,EU GDPR and Data Protection Act of Finland (Tietosuojalaki) (2019).,6,1
France,Active Law,EU GDPR and Law No. 78-17 as updated by Law No. 2018-493.,6,1
