Country,Privacy Enforcement Score,National Data Protection Authority,Sectoral or Other Regulatory Bodies,Primary Data Protection Legislation,Source
Albania,6,Commissioner for the Right to Information and Personal Data Protection,Not in source,Law No. 124/2024 On Personal Data Protection,1
Australia,6,Office of the Australian Information Commissioner (OAIC),Australian Prudential and Regulatory Authority (APRA); Australian Securities and Investment Commission,Privacy Act 1988 (Cth),1
Bahrain,6,Personal Data Protection Authority,Not in source,Law No. 30 of 2018 with respect to Personal Data Protection,1
Belgium,6,Belgian Data Protection Authority,Control body on police information (COC),"Data Protection Act of July 30, 2018",1
Chile,6,Agency for the Protection of Personal Data (effective Dec 2026),Financial Market Commission (CMF); National Cybersecurity Agency,Law 19.628/1999; Law 21.719,1
Japan,6,Personal Information Protection Commission (PPC),Not in source,Act on the Protection of Personal Information (APPI),1
Kenya,6,Office of the Data Protection Commissioner (ODPC),Not in source,"Data Protection Act, 2019",1
Malta,6,Information and Data Protection Commissioner,Not in source,Data Protection Act 2018 (Chapter 586),1
Philippines,6,National Privacy Commission (NPC),Not in source,Data Privacy Act of 2012 (Republic Act No. 10173),1
Seychelles,6,Information Commission,Not in source,"Data Protection Act, 2023",1
Tanzania,6,Personal Data Protection Commission (PDPC),Not in source,"Personal Data Protection Act, 2022",1
United Kingdom,6,Information Commissioner,Not in source,UK GDPR; Data Protection Act 2018; Data (Use and Access) Act 2025,1
Burundi,2,None,Telecommunications Regulatory and Control Agency (ARCT); Labor and social security inspectors; Central Bank,Law N°1/10 (Cybercriminality); Law no. 1/17 (Banking activities); Law n°1/11 (Labor code),1
