Country,Status of Data Protection Law,Legal Framework Details,Consent Exemption Instructions (Inferred Score),Source
Albania,Active Law,"Law No. 124/2024 ""On Personal Data Protection"" (Official Gazette No. 9, dated 17 January 2025).",6,"1, 2"
Algeria,Active Law,Law No. 18-07 of 10 June 2018 as amended by Law No. 25-11 of 24 July 2025.,6,"1, 2"
Angola,Active Law,"Data Protection Law (Law no. 22/11, 17 June 2011).",6,"1, 2"
Argentina,Active Law,"Personal Data Protection Law (Law 25,326) and Federal Constitution (Article 43).",6,"1, 2"
Armenia,Active Law,"Personal Data Protection Law as of 18.05.2015, number ՀՕ-49-Ն.",6,"1, 2"
Aruba,Active Law,"National Ordinance Person Registration (National Gazette 2011, Consolidated text no. 37).",6,"1, 2"
Australia,Active Law,Privacy Act 1988 (Cth) and Privacy and Other Legislation Amendment Act 2024.,6,"1, 2"
Austria,Active Law,"EU GDPR and Data Protection Act (Datenschutzgesetz, DSG).",6,"1, 2"
Azerbaijan,Active Law,Law on Personal Information dated 11 May 2010.,6,"1, 2"
Bahamas,Active Law,Data Protection (Privacy of Personal Information) Act (DPA).,6,"1, 2"
Bahrain,Active Law,Law No. 30 of 2018 with respect to Personal Data Protection (PDPL).,6,"1, 2"
Bangladesh,Active Law,Cyber Security Act 2023 (CA 2023).,6,"1, 2"
Barbados,Active Law,"Data Protection Act, 2019.",6,"1, 2"
Belarus,Active Law,Law on Personal Data Protection of 7 May 2021 No. 99-Z.,6,"1, 2"
Belgium,Active Law,"EU GDPR and Data Protection Act of July 30, 2018.",6,"1, 2"
Benin,Active Law,Law No. 2017-20 on the digital code and Law No. 2009-09.,6,"1, 2"
Bermuda,Active Law,Personal Information Protection Act 2016 (PIPA).,6,"1, 2"
Bosnia and Herzegovina,Active Law,Law on the Protection of Personal Data of BiH (Official Gazette no. 12/25).,6,"1, 2"
Botswana,Active Law,Data Protection Act – Act No. 18 of 2024.,6,"1, 2"
Brazil,Active Law,"General Data Protection Law (LGPD) (Law 13,709/2018).",6,"1, 2"
British Virgin Islands,Active Law,"Data Protection Act, 2021.",6,"1, 2"
Brunei,Active Law,"Personal Data Protection Order, 2025 (PDPO).",6,"1, 2"
Bulgaria,Active Law,EU GDPR and Personal Data Protection Act 2002 (as amended 2019).,6,"1, 2"
Burkina Faso,Active Law,Law No. 001-2021 on the protection of persons with regard to processing of personal data.,6,"1, 2"
Cameroon,Active Law,Law No. 2024/017 on the protection of personal data.,6,"1, 2"
Canada,Active Law,Personal Information Protection and Electronic Documents Act (PIPEDA) and provincial acts.,6,"1, 2"
Cape Verde,Active Law,Data Protection Law (Law 133/V/2001 as amended by Law 121/IX/2021).,6,"1, 2"
Cayman Islands,Active Law,Data Protection Act (2021 revision).,6,"1, 2"
Chad,Active Law,Act No. 007/PR/2015 on Personal Data protection.,6,"1, 2"
Chile,Active Law,Law 19.628 (PDPL) and Law 21.719 (effective Dec 2026).,6,"1, 2"
China,Active Law,"Personal Information Protection Law (PIPL), Data Security Law (DSL), and Cybersecurity Law (CSL).",6,"1, 2"
Colombia,Active Law,Statutory Law 1581 of 2012 and Law 1266 of 2008.,6,"1, 2"
Costa Rica,Active Law,Law No. 8968 Protection in Handling Personal Data; new bill pending since 2021.,6,"1, 2"
Côte d'Ivoire,Active Law,Law no. 2013-450 on the protection of personal data.,6,"1, 2"
Croatia,Active Law,EU GDPR and Act on the Implementation of the GDPR (2018).,6,"1, 2"
Curaçao,Active Law,"National ordinance personal data protection (National Gazette 2010, No. 84).",6,"1, 2"
Cyprus,Active Law,EU GDPR and Law 125(I)/2018.,6,"1, 2"
Czech Republic,Active Law,EU GDPR and Act No. 110/2019 Coll. on Personal Data Processing.,6,"1, 2"
Democratic Republic of Congo,Active Law,Digital Code Law N°23-010 of 13 March 2023.,6,"1, 2"
Denmark,Active Law,EU GDPR and Danish Act on Data Protection (2018).,6,"1, 2"
Dominican Republic,Active Law,Law No. 172-13 on the Protection of Personal Data (DPL).,6,"1, 2"
Ecuador,Active Law,Personal Data Protection Organic Law (2021).,6,"1, 2"
Egypt,Active Law,Personal Data Protection Law No.151 of 2020.,6,"1, 2"
Equatorial Guinea,Active Law,Personal Data Protection Law Num. 1/2016.,6,"1, 2"
Estonia,Active Law,EU GDPR and Personal Data Protection Act (PDPA) (2019).,6,"1, 2"
Ethiopia,Active Law,Personal Data Protection Proclamation No.1321/2024.,6,"1, 2"
Finland,Active Law,EU GDPR and Data Protection Act of Finland (Tietosuojalaki) (2019).,6,"1, 2"
France,Active Law,EU GDPR and Law No. 78-17 as updated by Law No. 2018-493.,6,"1, 2"
Gabon,Active Law,Act no. 025/2023 amending Act no. 001/2011 on personal data protection.,6,"1, 2"
Georgia,Active Law,Law of Georgia on Personal Data Protection (2024).,6,"1, 2"
Germany,Active Law,EU GDPR and Federal Data Protection Act (BDSG) (2018).,6,"1, 2"
Ghana,Active Law,"Data Protection Act, 2012 (Act 843).",6,"1, 2"
Gibraltar,Active Law,Gibraltar GDPR and Data Protection Act 2004.,6,"1, 2"
Greece,Active Law,EU GDPR and Greek Law 4624/2019.,6,"1, 2"
Guernsey,Active Law,"Data Protection (Bailiwick of Guernsey) Law, 2017.",6,"1, 2"
Guinea,Active Law,Law n° L/2016/037/AN on Cybersecurity and Personal Data Protection.,6,"1, 2"
Haiti,Active Law,Arrêté fixant les règles relatives à la protection des données (2018).,6,"1, 2"
"Hong Kong, SAR",Active Law,Personal Data (Privacy) Ordinance (Cap. 486).,6,"1, 2"
Hungary,Active Law,EU GDPR and Act CXII of 2011 as amended.,6,"1, 2"
Iceland,Active Law,Act No. 90/2018 on Data Protection and Processing of Personal Data.,6,"1, 2"
India,Active Law,"Digital Personal Data Protection Act, 2023 (DPDP Act).",6,"1, 2"
Indonesia,Active Law,Law No. 27 of 2022 concerning Personal Data Protection (PDP Law).,6,"1, 2"
Ireland,Active Law,EU GDPR and Data Protection Act 2018.,6,"1, 2"
Israel,Active Law,"Protection of Privacy Law, 5741-1981 (as amended 2024).",6,"1, 2"
Italy,Active Law,EU GDPR and Legislative Decree 101/2018 (Privacy Code).,6,"1, 2"
Japan,Active Law,Act on the Protection of Personal Information (APPI).,6,"1, 2"
Jersey,Active Law,"Data Protection (Jersey) Law, 2018.",6,"1, 2"
Jordan,Active Law,Personal Data Protection Law No. (24) of 2023.,6,"1, 2"
Kazakhstan,Active Law,Law No. 94-V 'On Personal Data and Its Protection' (2013).,6,"1, 2"
Kenya,Active Law,"Data Protection Act, 2019.",6,"1, 2"
Kosovo,Active Law,Law on Protection of Personal Data No.06/L-082 (2019).,6,"1, 2"
Kyrgyzstan,Active Law,"Law on Personal Data No.58 (2008, as amended 2021).",6,"1, 2"
Laos,Active Law,Law on Electronic Data Protection (2017) and Law on Cyber Crime.,6,"1, 2"
Latvia,Active Law,EU GDPR and Personal Data Processing Law (2018).,6,"1, 2"
Lebanon,Active Law,Law No. 81/2018 relating to Electronic Transactions and Personal Data Law.,6,"1, 2"
Lesotho,Active Law,"Data Protection Act, 2013.",6,"1, 2"
Liberia,Active Law,Data Privacy Protection Laws.,6,"1, 2"
Lithuania,Active Law,EU GDPR and Law on Legal Protection of Personal Data (2018).,6,"1, 2"
Luxembourg,Active Law,"EU GDPR and Law of August 1, 2018 on CNPD organization.",6,"1, 2"
Macau SAR,Active Law,Macau Personal Data Protection Law no. 8/2005.,6,"1, 2"
Madagascar,Active Law,Law No. 2014-038 relating to protection of personal data.,6,"1, 2"
Malaysia,Active Law,Personal Data Protection Act 2010 (PDPA) as amended 2024.,6,"1, 2"
Malta,Active Law,EU GDPR and Data Protection Act 2018 (Cap 586).,6,"1, 2"
Mauritius,Active Law,Data Protection Act 2017.,6,"1, 2"
Mexico,Active Law,Federal Law for Protection of Personal Data in Possession of Private Parties (2025).,6,"1, 2"
Moldova,Active Law,Law No. 133 on Personal Data Protection (2011).,6,"1, 2"
Monaco,Active Law,Data Protection Law n° 1.565 (2024).,6,"1, 2"
Mongolia,Active Law,Law of Mongolia on Personal Data Protection (2021/2022).,6,"1, 2"
Montenegro,Active Law,"Law on Protection of Personal Data (2008, as amended 2024).",6,"1, 2"
Morocco,Active Law,Law No 09-08 (2009).,6,"1, 2"
Nepal,Active Law,"Individual Privacy Act, 2018 (2075).",6,"1, 2"
Netherlands,Active Law,EU GDPR and Dutch GDPR Implementation Act (Uitvoeringswet AVG).,6,"1, 2"
New Zealand,Active Law,Privacy Act 2020.,6,"1, 2"
Nicaragua,Active Law,Law No. 787 Personal Data Protection Law (2012).,6,"1, 2"
Niger,Active Law,Law n° 2022-59 as amended by law n° 2023-31 (2023).,6,"1, 2"
Nigeria,Active Law,Nigeria Data Protection Act 2023 (NDPA).,6,"1, 2"
North Macedonia,Active Law,Law on Personal Data Protection (DP Law) (2020).,6,"1, 2"
Norway,Active Law,EU GDPR and Norwegian Personal Data Act (PDA) (2018).,6,"1, 2"
Panama,Active Law,"Law No. 81 of March 26, 2019.",6,"1, 2"
Paraguay,Active Law,Personal Credit Data Protection Law (2020) and Constitution Art. 135.,6,"1, 2"
Peru,Active Law,Personal Data Protection Law No. 29733 (2011).,6,"1, 2"
Philippines,Active Law,Data Privacy Act of 2012 (RA 10173).,6,"1, 2"
Poland,Active Law,EU GDPR and Personal Data Protection Act of 10 May 2018.,6,"1, 2"
Portugal,Active Law,EU GDPR and Law no 58/2019.,6,"1, 2"
Qatar,Active Law,Law No. (13) of 2016 Concerning Personal Data Protection.,6,"1, 2"
Republic of Congo,Active Law,Law N° 29 - 2019 of 10 October 2019.,6,"1, 2"
Romania,Active Law,EU GDPR and Law no. 190/2018.,6,"1, 2"
Russia,Active Law,Federal law No. 152 FZ 'On Personal Data' (2006).,6,"1, 2"
Rwanda,Active Law,Law n°058/2021 relating to protection of personal data.,6,"1, 2"
Saudi Arabia,Active Law,Personal Data Protection Law (PDPL) (2021/2023).,6,"1, 2"
Senegal,Active Law,Act No. 2008-12 Concerning Personal Data Protection.,6,"1, 2"
Serbia,Active Law,Data Protection Law (2018) (aligned with GDPR).,6,"1, 2"
Seychelles,Active Law,"Data Protection Act, 2023.",6,"1, 2"
Singapore,Active Law,Personal Data Protection Act 2012 (PDPA).,6,"1, 2"
Sint Maarten,Active Law,"National ordinance personal data protection (National Gazette 2010, No. 2).",6,"1, 2"
Slovak Republic,Active Law,EU GDPR and Act No. 18/2018 Coll.,6,"1, 2"
Slovenia,Active Law,EU GDPR and Data Protection Act (ZVOP-2) (2022/2023).,6,"1, 2"
South Africa,Active Law,Protection of Personal Information Act 4 of 2013 (POPIA).,6,"1, 2"
South Korea,Active Law,Personal Information Protection Act (PIPA) (as amended 2026).,6,"1, 2"
Spain,Active Law,EU GDPR and Fundamental Law on Data Protection (2018) (NLOPD).,6,"1, 2"
Sri Lanka,Active Law,Personal Data Act No. 9 of 2022 (PDPA).,6,"1, 2"
Sweden,Active Law,EU GDPR and Data Protection Act (2018:218).,6,"1, 2"
Switzerland,Active Law,Federal Act on Data Protection (FADP) (2020/2023).,6,"1, 2"
Taiwan,Active Law,Taiwan Personal Data Protection Act (PDPA) (as amended 2025).,6,"1, 2"
Tajikistan,Active Law,"Personal Data Protection Law, No.1537 (2018).",6,"1, 2"
Tanzania,Active Law,"Personal Data Protection Act, 2022 (PDPA).",6,"1, 2"
Thailand,Active Law,Personal Data Protection Act (PDPA) (2019/2022).,6,"1, 2"
Trinidad and Tobago,Active Law,"Data Protection Act, 2011 (DPA) (partially enacted).",6,"1, 2"
Tunisia,Active Law,Organic Law No. 2004-63 and Organic Law n°2015-26.,6,"1, 2"
Turkey,Active Law,Law on Protection of Personal Data No. 6698 (2016) (LPPD).,6,"1, 2"
Cambodia,Draft / Partial,Sub-Decree 252 and E-Commerce Law provisions.,4,1
Honduras,Partial,"National Constitution (Art. 182), Law for Transparency; comprehensive law in discussion.",4,1
Pakistan,Partial,Prevention of Electronic Crimes Act (PECA 2016); PDPB 2023 pending.,4,1
Tonga,Partial,English common law where not addressed by statute.,4,1
Bolivia,No specific Law,"Political Constitution (Art. 130), Supreme Decree No. 1391 and 1793.",2,1
