Country,Data Protection Law,Provision Summary,Requirement Compliance Score,Source
Albania,Law No. 124/2024 'On Personal Data Protection',"Article 6 establishes the accuracy principle, stating personal data shall be accurate and where necessary kept up to date.",6,1
Argentina,"Law 25,326 - Personal Data Protection Law (PDPL)",Article 43 of the Constitution and PDPL establish the right to request correction or updating of data where inaccurate.,6,1
Australia,Privacy Act 1988 (Cth),"The Australian Privacy Principles (APPs) regulate data privacy, including the accuracy of personal information.",6,1
Austria,EU General Data Protection Regulation (GDPR) and Data Protection Act (DSG),The accuracy principle under GDPR (Article 5) requires personal data to be accurate and kept up to date.,6,1
Bahrain,Law No. 30 of 2018 (PDPL),The PDPL and supplementing resolutions establish rules regarding data processing and data subject rights including accuracy.,6,1
Belgium,"EU GDPR and Data Protection Act of July 30, 2018","The law incorporates GDPR principles, including the requirement for personal data to be accurate.",6,1
Bosnia and Herzegovina,Law on Personal Data Protection of BiH (2025),"Transposes GDPR principles, strengthening data subject rights regarding accurate data processing.",6,1
Brazil,General Data Protection Law (LGPD),Aligns with GDPR standards regarding data processing principles including data quality and accuracy.,6,1
Bulgaria,EU GDPR and Personal Data Protection Act,Directly implements GDPR provisions including the core principles of data accuracy.,6,1
Canada,Personal Information Protection and Electronic Documents Act (PIPEDA),"Statutes set out a comprehensive regime for the collection, use, and disclosure of personal information including accuracy.",6,1
Chile,Law 19.628 and Law 21.719,"Law 21.719 (effective Dec 2026) adopts basic principles including data quality, requiring data to be accurate and complete.",6,1
China,Personal Information Protection Law (PIPL),The PIPL enhances and clarifies personal information protection principles in the PRC.,6,1
Colombia,Statutory Law 1581 of 2012 and Statutory Law 1266 of 2008,Articles 15 and 20 of the Constitution recognize the right to data rectification; Law 1266 defines general terms for habeas data.,6,1
Croatia,EU GDPR and Act on the Implementation of the GDPR,Incorporates GDPR principles including the accuracy and quality of personal data.,6,1
Czech Republic,EU GDPR and Act No. 110/2019 Coll.,Fully replaced older laws to regulate processing within the scope of the GDPR accuracy principles.,6,1
Denmark,EU GDPR and Danish Act on Data Protection,Data processing is regulated by the GDPR as supplemented by the Danish Act.,6,1
Dominican Republic,Law No. 172-13 on the Protection of Personal Data (DPL),The Constitution establishes processing principles including integrity and citizens' right to access and rectify data.,6,1
Ecuador,Personal Data Protection Organic Law (2021),"The law guarantees the right to protection, access, decision, and rectification of personal data.",6,1
Estonia,EU GDPR and Personal Data Protection Act (PDPA),PDPA provides the national derogations to the GDPR which requires accurate data processing.,6,1
Finland,EU GDPR and Data Protection Act of Finland,Regulates data protection in accordance with GDPR principles including data accuracy.,6,1
