Country;Consent Exemption Instructions (Inferred Score)
Albania;6
Algeria;6
Angola;6
Argentina;6
Armenia;6
Aruba;6
Australia;6
Austria;6
Azerbaijan;6
Bahamas;6
Bahrain;6
Bangladesh;6
Barbados;6
Belarus;6
Belgium;6
Benin;6
Bermuda;6
Bosnia and Herzegovina;6
Botswana;6
Brazil;6
British Virgin Islands;6
Brunei;6
Bulgaria;6
Burkina Faso;6
Cameroon;6
Canada;6
Cape Verde;6
Cayman Islands;6
Chad;6
Chile;6
China;6
Colombia;6
Costa Rica;
Côte d'Ivoire;6
Croatia;6
Curaçao;6
Cyprus;6
Czech Republic;6
Democratic Republic of Congo;6
Denmark;6
Dominican Republic;6
Ecuador;6
Egypt;6
Equatorial Guinea;6
Estonia;6
Ethiopia;6
Finland;6
France;6
Gabon;6
Georgia;6
Germany;6
Ghana;6
Gibraltar;6
Greece;6
Guernsey;6
Guinea;6
Haiti;6
Hong Kong;6
Hungary;6
Iceland;6
India;6
Indonesia;6
Ireland;6
Israel;6
Italy;6
Japan;6
Jersey;6
Jordan;6
Kazakhstan;6
Kenya;6
Kosovo;6
Kyrgyzstan;6
Laos;6
Latvia;6
Lebanon;6
Lesotho;6
Liberia;6
Lithuania;6
Luxembourg;6
Macau SAR;6
Madagascar;6
Malaysia;6
Malta;6
Mauritius;6
Mexico;6
Moldova;6
Monaco;6
Mongolia;6
Montenegro;6
Morocco;6
Nepal;6
Netherlands;6
New Zealand;6
Nicaragua;6
Niger;6
Nigeria;6
North Macedonia;6
Norway;6
Panama;6
Paraguay;6
Peru;6
Philippines;6
Poland;6
Portugal;6
Qatar;6
Republic of Congo;6
Romania;6
Russia;6
Rwanda;6
Saudi Arabia;6
Senegal;6
Serbia;6
Seychelles;6
Singapore;6
Sint Maarten;6
Slovak Republic;6
Slovenia;6
South Africa;6
South Korea;6
Spain;6
Sri Lanka;6
Sweden;6
Switzerland;6
Taiwan;6
Tajikistan;6
Tanzania;6
Thailand;6
Trinidad and Tobago;6
Tunisia;6
Turkey;6
Cambodia;4
Honduras;
Pakistan;
Tonga;4
Bolivia;2
Burundi;2
Cuba;2
El Salvador;
Fiji;2
Guatemala;2
Iran;2
Kuwait;2
Libya;2
Mozambique;2
Myanmar;2
Namibia;
