Reporter Name;Partner Name;Year;Trade Flow;No Of exported HS6 digit Products;Export Share in Total Products (%);Export (US$ Thousand);Export Partner Share (%)
Ukraine;Aruba;2021;Export;1;0,03;4,05;0
Ukraine;Afghanistan;2021;Export;99;2,62;4553,75;0,01
Ukraine;Angola;2021;Export;59;1,56;21135,88;0,03
Ukraine;Anguila;2021;Export;1;0,03;1,81;0
Ukraine;Albania;2021;Export;194;5,14;39768,42;0,06
Ukraine;Andorra;2021;Export;25;0,66;107,65;0
Ukraine;United Arab Emirates;2021;Export;840;22,26;516973,54;0,78
Ukraine;Argentina;2021;Export;111;2,94;33462,51;0,05
Ukraine;Armenia;2021;Export;787;20,85;130870,31;0,2
Ukraine;American Samoa;2021;Export;;;;
Ukraine;Antarctica;2021;Export;;;;
Ukraine;Fr. So. Ant. Tr;2021;Export;;;;
Ukraine;Antigua and Barbuda;2021;Export;105;2,78;24,43;0
Ukraine;Australia;2021;Export;438;11,61;61333,39;0,09
Ukraine;Austria;2021;Export;1037;27,48;904651,38;1,37
Ukraine;Azerbaijan;2021;Export;1141;30,23;389534,27;0,59
Ukraine;Burundi;2021;Export;7;0,19;1621,9;0
Ukraine;Belgium;2021;Export;862;22,84;650164,33;0,99
Ukraine;Benin;2021;Export;25;0,66;47324,92;0,07
Ukraine;Burkina Faso;2021;Export;224;5,94;30675,86;0,05
Ukraine;Bangladesh;2021;Export;95;2,52;250566,96;0,38
Ukraine;Bulgaria;2021;Export;1206;31,96;781774,46;1,19
Ukraine;Bahrain;2021;Export;91;2,41;6253,39;0,01
Ukraine;Bahamas, The;2021;Export;58;1,54;197,61;0
Ukraine;Bosnia and Herzegovina;2021;Export;202;5,35;26355,41;0,04
Ukraine;Belarus;2021;Export;1926;51,03;1462730,18;2,22
Ukraine;Belize;2021;Export;88;2,33;69,18;0
Ukraine;Bermuda;2021;Export;105;2,78;11,66;0
Ukraine;Bolivia;2021;Export;30;0,79;9323,96;0,01
Ukraine;Brazil;2021;Export;130;3,44;189414,27;0,29
Ukraine;Barbados;2021;Export;12;0,32;469,42;0
Ukraine;Brunei;2021;Export;5;0,13;54,18;0
Ukraine;Bhutan;2021;Export;;;;
Ukraine;Botswana;2021;Export;2;0,05;396,78;0
Ukraine;Central African Republic;2021;Export;59;1,56;1393,34;0
Ukraine;Canada;2021;Export;764;20,24;155871,3;0,24
Ukraine;Cocos (Keeling) Islands;2021;Export;1;0,03;14,86;0
Ukraine;Switzerland;2021;Export;702;18,6;212246,37;0,32
Ukraine;Chile;2021;Export;224;5,94;11209,77;0,02
Ukraine;China;2021;Export;740;19,61;7992491,77;12,13
Ukraine;Cote d'Ivoire;2021;Export;66;1,75;92918;0,14
Ukraine;Cameroon;2021;Export;166;4,4;99460,78;0,15
Ukraine;Congo, Rep.;2021;Export;104;2,76;11150,32;0,02
Ukraine;Cook Islands;2021;Export;51;1,35;2,87;0
Ukraine;Colombia;2021;Export;149;3,95;207304,22;0,31
Ukraine;Comoros;2021;Export;107;2,84;736,13;0
Ukraine;Cape Verde;2021;Export;6;0,16;1781,84;0
Ukraine;Costa Rica;2021;Export;45;1,19;163770,07;0,25
Ukraine;Cuba;2021;Export;142;3,76;3486,95;0,01
Ukraine;Curaçao;2021;Export;2;0,05;8,99;0
Ukraine;Christmas Island;2021;Export;;;;
Ukraine;Cayman Islands;2021;Export;23;0,61;10,93;0
Ukraine;Cyprus;2021;Export;621;16,45;46310;0,07
Ukraine;Czech Republic;2021;Export;1182;31,32;1378790,39;2,09
Ukraine;Germany;2021;Export;2089;55,35;2789957,32;4,24
Ukraine;Djibouti;2021;Export;75;1,99;82553,12;0,13
Ukraine;Dominica;2021;Export;11;0,29;5,96;0
Ukraine;Denmark;2021;Export;868;23;279835,6;0,42
Ukraine;Dominican Republic;2021;Export;83;2,2;360742,64;0,55
Ukraine;Algeria;2021;Export;264;7;410228;0,62
Ukraine;East Asia & Pacific;2021;Export;1642;43,51;10349801,81;15,71
Ukraine;Europe & Central Asia;2021;Export;3691;97,8;38925982,41;59,09
Ukraine;Ecuador;2021;Export;52;1,38;4092,32;0,01
Ukraine;Egypt, Arab Rep.;2021;Export;376;9,96;1909977,89;2,9
Ukraine;Eritrea;2021;Export;3;0,08;11510,49;0,02
Ukraine;Western Sahara;2021;Export;;;;
Ukraine;Spain;2021;Export;813;21,54;1639830,29;2,49
Ukraine;Estonia;2021;Export;1048;27,77;163200,85;0,25
Ukraine;Ethiopia(excludes Eritrea);2021;Export;151;4;245732,24;0,37
Ukraine;Finland;2021;Export;387;10,25;108099,84;0,16
Ukraine;Fiji;2021;Export;2;0,05;54,38;0
Ukraine;Falkland Island;2021;Export;;;;
Ukraine;France;2021;Export;1030;27,29;850253,26;1,29
Ukraine;Faeroe Islands;2021;Export;1;0,03;75,31;0
Ukraine;Micronesia, Fed. Sts.;2021;Export;;;;
Ukraine;Gabon;2021;Export;34;0,9;19047,31;0,03
Ukraine;United Kingdom;2021;Export;1199;31,77;1045967,39;1,59
Ukraine;Georgia;2021;Export;1730;45,84;430524,9;0,65
Ukraine;Ghana;2021;Export;166;4,4;136988,62;0,21
Ukraine;Gibraltar;2021;Export;10;0,27;132,72;0
Ukraine;Guinea;2021;Export;160;4,24;19170,88;0,03
Ukraine;Gambia, The;2021;Export;101;2,68;37354,5;0,06
Ukraine;Guinea-Bissau;2021;Export;5;0,13;182,03;0
Ukraine;Equatorial Guinea;2021;Export;65;1,72;2630,49;0
Ukraine;Greece;2021;Export;708;18,76;221452,33;0,34
Ukraine;Grenada;2021;Export;2;0,05;57,93;0
Ukraine;Greenland;2021;Export;;;;
Ukraine;Guatemala;2021;Export;108;2,86;53902,69;0,08
Ukraine;Guam;2021;Export;;;;
Ukraine;Guyana;2021;Export;15;0,4;4505,22;0,01
Ukraine;Hong Kong, China;2021;Export;555;14,71;78142,19;0,12
Ukraine;Honduras;2021;Export;13;0,34;5033,09;0,01
Ukraine;Croatia;2021;Export;310;8,21;46589,15;0,07
Ukraine;Haiti;2021;Export;15;0,4;36589,11;0,06
Ukraine;Hungary;2021;Export;1077;28,54;1583363,05;2,4
Ukraine;Indonesia;2021;Export;224;5,94;734952,72;1,12
Ukraine;India;2021;Export;627;16,61;2513804,63;3,82
Ukraine;British Indian Ocean Ter.;2021;Export;1;0,03;15,35;0
Ukraine;Ireland;2021;Export;243;6,44;97898,52;0,15
Ukraine;Iran, Islamic Rep.;2021;Export;102;2,7;590277,08;0,9
Ukraine;Iraq;2021;Export;382;10,12;686667,12;1,04
Ukraine;Iceland;2021;Export;155;4,11;1216,94;0
Ukraine;Israel;2021;Export;914;24,22;711704,3;1,08
Ukraine;Italy;2021;Export;1121;29,7;3240255,6;4,92
Ukraine;Jamaica;2021;Export;3;0,08;73,73;0
Ukraine;Jordan;2021;Export;230;6,09;193811,59;0,29
Ukraine;Japan;2021;Export;625;16,56;341493,65;0,52
Ukraine;Kazakhstan;2021;Export;1180;31,27;424541,38;0,64
Ukraine;Kenya;2021;Export;130;3,44;155008,41;0,24
Ukraine;Kyrgyz Republic;2021;Export;340;9,01;51468,62;0,08
Ukraine;Cambodia;2021;Export;40;1,06;2370,74;0
Ukraine;St. Kitts and Nevis;2021;Export;52;1,38;10,67;0
Ukraine;Korea, Rep.;2021;Export;498;13,2;267278,25;0,41
Ukraine;Kuwait;2021;Export;218;5,78;38150,81;0,06
Ukraine;Lao PDR;2021;Export;9;0,24;254,14;0
Ukraine;Lebanon;2021;Export;280;7,42;386037,5;0,59
Ukraine;Liberia;2021;Export;370;9,8;9566,47;0,01
Ukraine;Libya;2021;Export;168;4,45;425007,32;0,65
Ukraine;St. Lucia;2021;Export;;;;
Ukraine;Latin America & Caribbean;2021;Export;955;25,3;1423094,38;2,16
Ukraine;Sri Lanka;2021;Export;100;2,65;23317,26;0,04
Ukraine;Lesotho;2021;Export;1;0,03;6,1;0
Ukraine;Lithuania;2021;Export;1485;39,35;553374,12;0,84
Ukraine;Luxembourg;2021;Export;60;1,59;15672,67;0,02
Ukraine;Latvia;2021;Export;1187;31,45;282462,18;0,43
Ukraine;Macao;2021;Export;2;0,05;0,54;0
Ukraine;Morocco;2021;Export;177;4,69;520873,41;0,79
Ukraine;Moldova;2021;Export;2447;64,84;841635,1;1,28
Ukraine;Madagascar;2021;Export;16;0,42;11929,69;0,02
Ukraine;Maldives;2021;Export;42;1,11;2975,3;0
Ukraine;Middle East, North Africa, Afghanistan & Pakistan;2021;Export;1784;47,27;8813327,81;13,38
Ukraine;Mexico;2021;Export;204;5,41;188568,67;0,29
Ukraine;Marshall Islands;2021;Export;415;11;430,05;0
Ukraine;North Macedonia;2021;Export;205;5,43;120706,96;0,18
Ukraine;Mali;2021;Export;184;4,88;28214,87;0,04
Ukraine;Malta;2021;Export;423;11,21;30373,14;0,05
Ukraine;Myanmar;2021;Export;22;0,58;26319,58;0,04
Ukraine;Mongolia;2021;Export;173;4,58;25109,21;0,04
Ukraine;Northern Mariana Islands;2021;Export;;;;
Ukraine;Montenegro;2021;Export;340;9,01;6774,65;0,01
Ukraine;Mozambique;2021;Export;29;0,77;22763,99;0,03
Ukraine;Mauritania;2021;Export;27;0,72;63264,61;0,1
Ukraine;Mauritius;2021;Export;59;1,56;3130,35;0
Ukraine;Malawi;2021;Export;13;0,34;226,81;0
Ukraine;Malaysia;2021;Export;220;5,83;136387,78;0,21
Ukraine;North America;2021;Export;1659;43,96;1705774,79;2,59
Ukraine;Namibia;2021;Export;37;0,98;331,43;0
Ukraine;New Caledonia;2021;Export;2;0,05;57,74;0
Ukraine;Niger;2021;Export;24;0,64;1731,08;0
Ukraine;Nigeria;2021;Export;165;4,37;153645,91;0,23
Ukraine;Nicaragua;2021;Export;76;2,01;183,86;0
Ukraine;Niue;2021;Export;;;;
Ukraine;Netherlands;2021;Export;1162;30,79;2128423,19;3,23
Ukraine;Norway;2021;Export;590;15,63;38354,83;0,06
Ukraine;Nepal;2021;Export;27;0,72;20472;0,03
Ukraine;Nauru;2021;Export;;;;
Ukraine;New Zealand;2021;Export;179;4,74;11802,1;0,02
Ukraine;Other Asia, nes;2021;Export;;;104962,14;0,16
Ukraine;Oman;2021;Export;139;3,68;183472,63;0,28
Ukraine;Pakistan;2021;Export;222;5,88;572623,62;0,87
Ukraine;Panama;2021;Export;297;7,87;5004,76;0,01
Ukraine;Peru;2021;Export;211;5,59;126544,12;0,19
Ukraine;Philippines;2021;Export;199;5,27;107527;0,16
Ukraine;Palau;2021;Export;117;3,1;130,53;0
Ukraine;Papua New Guinea;2021;Export;12;0,32;195,08;0
Ukraine;Poland;2021;Export;2082;55,17;4979134,7;7,56
Ukraine;Korea, Dem. Rep.;2021;Export;;;;
Ukraine;Portugal;2021;Export;402;10,65;315640,2;0,48
Ukraine;Paraguay;2021;Export;20;0,53;413,36;0
Ukraine;Occ.Pal.Terr;2021;Export;48;1,27;21729,5;0,03
Ukraine;French Polynesia;2021;Export;1;0,03;1,23;0
Ukraine;Qatar;2021;Export;247;6,54;140219,02;0,21
Ukraine;Romania;2021;Export;1381;36,59;1500270,82;2,28
Ukraine;Russian Federation;2021;Export;1932;51,19;3349119,52;5,08
Ukraine;Rwanda;2021;Export;23;0,61;1180,35;0
Ukraine;South Asia;2021;Export;730;19,34;2811136,15;4,27
Ukraine;Saudi Arabia;2021;Export;385;10,2;779545,65;1,18
Ukraine;Senegal;2021;Export;78;2,07;123963,76;0,19
Ukraine;Serbia, FR(Serbia/Montenegro);2021;Export;521;13,81;195731,41;0,3
Ukraine;Singapore;2021;Export;402;10,65;21787,48;0,03
